year,film,person,is_winner,raw_text,source_url
2014,Choi Min-sik,The Admiral: Roaring Currents,False,2014 | Choi Min-sik | The Admiral: Roaring Currents | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2015,Jung Jae-young,"Right Now, Wrong Then",False,"2015 | Jung Jae-young | Right Now, Wrong Then | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2016,Lee Byung-hun,Inside Men,False,2016 | Lee Byung-hun | Inside Men | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2017,Sul Kyung-gu,The Merciless,False,2017 | Sul Kyung-gu | The Merciless | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2018,Lee Sung-min,The Spy Gone North,False,2018 | Lee Sung-min | The Spy Gone North | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2019,Shin Ha-kyun,Inseparable Bros,False,2019 | Shin Ha-kyun | Inseparable Bros | [ 5 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2020,Lee Byung-hun,The Man Standing Next,False,2020 | Lee Byung-hun | The Man Standing Next | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2021,Sul Kyung-gu,The Book of Fish,False,2021 | Sul Kyung-gu | The Book of Fish | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2022,Jung Woo-sung,Hunt,False,2022 | Jung Woo-sung | Hunt | [ 7 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2023,Ryu Jun-yeol,The Night Owl,False,2023 | Ryu Jun-yeol | The Night Owl | [ 8 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2024,Lee Hee-joon,Handsome Guys,False,2024 | Lee Hee-joon | Handsome Guys | [ 9 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
2025,Park Jeong-min,The Ugly,False,2025 | Park Jeong-min | The Ugly | [ 10 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
