year,film,person,is_winner,raw_text,source_url
,2016,The Age of Shadows,False,36 | 2016 | The Age of Shadows | Kim Jee-woon | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2017,The Fortress,False,37 | 2017 | The Fortress | Hwang Dong-hyuk | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2018,1987: When the Day Comes,False,38 | 2018 | 1987: When the Day Comes | Jang Joon-hwan | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2019,Parasite,False,39 | 2019 | Parasite | Bong Joon-ho | [ 5 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2020,The Man Standing Next,False,40 | 2020 | The Man Standing Next | Woo Min-ho | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2021,The Book of Fish,False,41 | 2021 | The Book of Fish | Lee Jun-ik | [ 6 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2022,Decision to Leave,False,42 | 2022 | Decision to Leave | Park Chan-wook | [ 7 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2023,Next Sohee,False,43 | 2023 | Next Sohee | Jung Ju-ri | [ 8 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2024,A Wild Roomer,False,44 | 2024 | A Wild Roomer | Lee Jeong-hong | [ 9 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2025,The Final Semester,False,45 | 2025 | The Final Semester | Lee Ran-hee | [ 10 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1980,Yu Hyun-mok,False,1 | 1980 | Yu Hyun-mok | Son of Man | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1981,Kim Ho-sun,False,2 | 1981 | Kim Ho-sun | Three Times Each for Short and Long Ways | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1983,Bae Chang-ho,False,3 | 1983 | Bae Chang-ho | People of Kkobang Neighborhood | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
