year,ceremony,category,nominee,film,winner,source_url
2026,78th Writers Guild of America Awards,New Series,Pluribus (Apple TV),"Vera Blasi, Jenn Carroll, Vince Gilligan, Jonny Gomez, Peter Gould, Ariel Levine, Gordon Smith, Alison Tatlock",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,New Series,The Studio (Apple TV),"Evan Goldberg, Alex Gregory, Peter Huyck, Frida Perez, Seth Rogen",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,New Series,Task (HBO Max),Brad Ingelsby & David Obzud,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Limited Series,Dying for Sex (FX/Hulu),"Sheila Callaghan, Harris Danow, Madeleine George, Elizabeth Meriwether, Amelia Roper, Kim Rosenstock, Sasha Stewart, Sabrina Wu, Keisha Zollar",1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Limited Series,The Beast in Me (Netflix),"Howard Gordon, C.A. Johnson, Ali Liebegott, Daniel Pearle, Gabe Rotter, Erika Sheffer, Mike Skerrett",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Limited Series,Black Rabbit (Netflix),"Zach Baylin, Sarah Gubbins, Kate Susman, Andrew Hinderaker, Stacy Osei-Kuffour, Carlos Rios",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Limited Series,Death by Lightning (Netflix),Mike Makowsky,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Limited Series,Sirens (Netflix),"Bekah Brunstetter, Dan LeFranc, Colin McKenna, Molly Smith Metzler",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,Deep Cover (Prime Video),Derek Connolly & Colin Trevorrow,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,The Best You Can (Sony Pictures Home Entertainment),Michael J. Weithorn,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,The Life List (Netflix),Adam Brooks; based on the novel by Lori Nelson Spielman,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,Swiped (Hulu),Bill Parker & Rachel Lee Goldenberg and Kim Caramele,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,"""Shira Can’t Cook""",Long Story Short (Netflix) – Mehar Sethi,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,“Abe League of Their Moe”,The Simpsons (Fox) –  Joel H. Cohen,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,"""Don’t Worry, Be Hoopy""",Bob's Burgers (Fox) – Lindsey Stoddart,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,"""It’s a Beef-derful Life""",The Great North (Fox) – Lizzie Molyneux-Logelin & Wendy Molyneux,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,"""Parahormonal Activity""",The Simpsons (Fox) – Loni Steele Sosthand,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Television,"""Scared Screenless""",Futurama (Hulu) – Bill Odenkirk,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""7:00 A.M.""",The Pitt (HBO Max) – R. Scott Gemmill,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""A Still Small Voice""",Task (HBO Max) – Brad Ingelsby,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""Charm Offensive""",Pluribus (Apple TV) – Jonny Gomez,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""Execution""",The Handmaid's Tale (Hulu) – Eric Tuchman,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""Got Milk""",Pluribus (Apple TV) – Ariel Levine,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Drama,"""Reunion""",Forever (Netflix) – Mara Brock Akil,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""Prelude""","The Righteous Gemstones (HBO Max) – John Carcieri, Jeff Fradley, Danny R. McBride",1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""A Call From God""",Mo (Netflix) – Mohammed Amer & Harris Danow,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""Pilot's Code""","The Rehearsal (HBO Max) – Nathan Fielder, Carrie Kemper, Adam Locke-Norton, Eric Notarnicola",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""The Promotion""",The Studio (Apple TV) –  Seth Rogen & Evan Goldberg & Peter Huyck & Alex Gregory & Frida Perez,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""The Sleazy Georgian""",Poker Face (Peacock) – Megan Amram,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Episodic Comedy,"""Worms""",The Bear (FX/Hulu) – Ayo Edebiri & Lionel Boyce,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,Last Week Tonight with John Oliver (HBO Max),"Daniel O'Brien, Owen Parsons, Charlie Redd, Joanna Rothkopf, Seena Vali, Johnathan Appel, Ali Barthwell, Tim Carvell, Liz Hynes, Ryan Ken, Sofía Manfredi, John Oliver, Taylor Kay Phillips, Chrissy Shackelford",1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,The Daily Show (Comedy Central),"Dan Amira, Lauren Sarver Means, Daniel Radosh, David Angelo, Nicole Conlan, Devin Delliquanti, Zach DiLanzo, Jennifer Flanz, Jason Gilbert, Dina Hashem, Scott Hercman, Josh Johnson, David Kibuuka, Matt Koff, Matt O'Brien, Joe Opio, Randall Otis, Zhubin Parang, Kat Radley, Lanee' Sanders, Scott Sherman, Jon Stewart, Ashton Womack, Sophie Zucker",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,"Have I Got News for You (CNN, HBO Max)","Mason Steinberg, Kris Acimovic, Jim Biederman, Daniel Chamberlain, Jodi Lennon, Michael Pielocik, Jill Twiss",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,Late Night with Seth Meyers (NBC),"Alex Baze, Seth Reiss, Mike Scollins, Sal Gentile, Jermaine Affonso, Bryan Donaldson, Matt Goldich, Jenny Hagel, John Lutz, Seth Meyers, Amber Ruffin, Mike Shoemaker, Ben Warheit, Jeff Wright",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,Saturday Night Live (NBC),"Alison Gates, Erik Kenward, Streeter Seidell, Kent Sublette, Bryan Tucker, Dan Bulla, Will Stephen, Auguste White, Celeste Yim, Steven Castillo, Michael Che, Mike DiCenzo, Jimmy Fowlie, Sudi Green, Martin Herlihy, John Higgins, Steve Higgins, Colin Jost, Allie Levitan, Ben Marshall, Lorne Michaels, Jake Nordwind, Ceara O'Sullivan, Moss Perricone, Carl Tart, Asha Ward, Pete Schultz, Rosebud Baker, Megan Callahan-Shah, Dennis McNicholas, Josh Patten, KC Shornima",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Talk or Sketch Series,They Call It Late Night with Jason Kelce (ESPN),"Jon Glaser, Andy Blitz, Kevin Dorff, Tami Sagher",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Specials,Marc Maron: Panicked (HBO Max),Marc Maron,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Specials,82nd Annual Golden Globes (CBS),"Barry Adelman, Nefetari Spencer, Mike Gibbons, Brian Frange, Sean O'Connor, Alex Baze, Bob Castrone, Chris Convy, Anna Drezen, Jess Dweck, Noah Garfinkel, Nikki Glaser, Lauren Greenberg, Ben Hoffman, Ian Karmel, Andrew Law, Mike Lawrence, Jon Macks, Bonnie McFarlane, Chris Spencer, Matt Whitaker",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Specials,The Daily Show Presents: Jordan Klepper Fingers the Pulse: MAGA: The Next Generation (Comedy Central),"Ian Berger, Devin Delliquanti, Jennifer Flanz, Jordan Klepper, Zhubin Parang, Scott Sherman",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Comedy/Variety – Specials,Conan O'Brien: The Kennedy Center Mark Twain Prize for American Humor (Netflix),"Jon Macks, Chris Convy, Lauren Greenberg, Skyler Higley, Ian Karmel, Sean O'Connor",0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
