year,ceremony,category,nominee,film,won
2001,Crystal Simorgh Awards,Best Feature,Majid Majidi and Fouad Nahas,Baran,1
2001,Crystal Simorgh Awards,Best Movie,Manouchehr Mohammadi,Under the Moonlight,0
2001,Crystal Simorgh Awards,Best Movie,Bahram Beyzai,Killing Mad Dogs,0
2001,Crystal Simorgh Awards,Best Feature,Ali Vajed-Samii,Paradise for you,0
2001,Crystal Simorgh Awards,Best Movie,Namaadin,End of the Game,0
2002,Crystal Simorgh Awards,Best Movie,Bahman Farmanara,A House Built on Water,1
2002,Crystal Simorgh Awards,Best Movie,Rasul Sadr Ameli,"I'm Taraneh, 15",0
2002,Crystal Simorgh Awards,Best Title,Manouchehr Mohammadi,Low Heights,0
2002,Crystal Simorgh Awards,Best Movie,"Dariush Mehrjui , Tahmineh Milani and Mohammad Nikbin",To Stay Alive,0
2002,Crystal Simorgh Awards,Best Movie,Hassan Tavakkolnia,Unruled Paper,0
2002,Crystal Simorgh Awards,Best Title,Rasoul Mollagholipour,The Poisonous Mushroom,0
2003,Crystal Simorgh Awards,Best Feature,Mohammad-Reza Takht-Keshian,The Insane Flew Away,1
2003,Crystal Simorgh Awards,Best Movie,Alireza Shoja Nouri,The Wind Carpet,0
2003,Crystal Simorgh Awards,Best Title,Reza Mirkarimi,"Here, A Shining Light",0
2003,Crystal Simorgh Awards,Best Feature,Amir Samavati,Deep Breath,0
2003,Crystal Simorgh Awards,Best Feature,Mohammad Nikbin,The Fifth Reaction,0
2004,Crystal Simorgh Awards,Best Title,Dariush Mehrjui and SimaFilm,Mum's Guest,1
2004,Crystal Simorgh Awards,Best Title,Tamasha Cultural Institute,Duel,0
2004,Crystal Simorgh Awards,Best Movie,Mahmoud Fallah,Tradition of Lover Killing,0
2004,Crystal Simorgh Awards,Best Feature,Iraj Taghipour and Neshaneh Film Production,The Beautiful City,0
2004,Crystal Simorgh Awards,Best Title,"Mohammad-Reza Takht-Keshian  , IRIB TV1 and Farabi Cinema Foundation",Ghadamgah,0
2005,Crystal Simorgh Awards,Best Feature,Reza Mirkarimi,"So Close, So Far",1
2005,Crystal Simorgh Awards,Best Motion picture,Majid Majidi,The Willow Tree,0
2005,Crystal Simorgh Awards,Best Motion picture,Mohammad Khazaee,Behind the Curtain of Fog,0
2005,Crystal Simorgh Awards,Best Title,Hassan Beshkufeh,A Place to Live,0
2005,Crystal Simorgh Awards,Best Title,Amir Samavati,Café Transit,0
2005,Crystal Simorgh Awards,Best Motion picture,Mohammad-Reza Takht-Keshian,We Are All Fine,0
2006,Crystal Simorgh Awards,Best Feature,Ebrahim Hatamikia,In the Name of the Father,1
2006,Crystal Simorgh Awards,Best Title,Nasser Shafagh  and Saeed Hajimiri,The Incident,0
2006,Crystal Simorgh Awards,Best Feature,Jamal Sadatian,Fireworks Wednesday,0
2006,Crystal Simorgh Awards,Best Movie,Jahangir Kosari,Friday Evening,0
2007,Crystal Simorgh Awards,Best Title,Alireza Jalali,The Third Day,1
2007,Crystal Simorgh Awards,Best Motion picture,Amir-Shahab Razavian,Colors of Memory,0
2007,Crystal Simorgh Awards,Best Feature,Mehdi Homayounfar,The Night Bus,0
2008,Crystal Simorgh Awards,Best Motion picture,Reza Mirkarimi,As Simple as That,1
2008,Crystal Simorgh Awards,Best Feature,Majid Majidi,The Song of Sparrows,0
2008,Crystal Simorgh Awards,Best Movie,Fathollah Jafari Jozani,Wind Blows in the Meadow,0
2009,Crystal Simorgh Awards,Best Title,Saeed Sa'di,Doubt,1
2009,Crystal Simorgh Awards,Best Feature,Pouran Derakhshandeh,Twenty,0
2009,Crystal Simorgh Awards,Best Title,Javad Norouzbeigi,The Postman Doesn't Knock 3 Times,0
2009,Crystal Simorgh Awards,Best Title,Asghar Farhadi,About Elly,0
2009,Crystal Simorgh Awards,Best Movie,Abolhassan Davoudi,Motherland,0
2009,Crystal Simorgh Awards,Best Feature,Bahram Beyzai,When We're All Asleep,0
2010,Crystal Simorgh Awards,Best Motion picture,Jamal Sadatian,In Amethyst Color,1
2010,Crystal Simorgh Awards,Best Movie,Alireza Raisian,Forty Years Old,0
2010,Crystal Simorgh Awards,Best Movie,Seyyed Ahmad Mir-Alaei,The Fateful Night,0
2010,Crystal Simorgh Awards,Best Movie,Manouchehr Mohammadi,Gold and Copper,0
2010,Crystal Simorgh Awards,Best Motion picture,Mojtaba Faravardeh,The Kingdom of Solomon,0
2010,Crystal Simorgh Awards,Best Title,Jamal Sadatian,Seven Minutes to Fall,0
2011,Crystal Simorgh Awards,Best Feature,Masoud Kimiai,Crime,1
2011,Crystal Simorgh Awards,Best Feature,SimaFilm,Beloved Sky,0
2011,Crystal Simorgh Awards,Best Feature,Asghar Farhadi,A Separation,0
2011,Crystal Simorgh Awards,Best Movie,Saeed Sa'di,Alzheimer,0
2011,Crystal Simorgh Awards,Best Motion picture,Mehdi Homayounfar,33 Days,0
2012,Crystal Simorgh Awards,Best Movie,Saeed Sa'di,Days of Life,0
2012,Crystal Simorgh Awards,Best Feature,Reza Rakhshan,Bulletproof,0
2012,Crystal Simorgh Awards,Best Movie,Abolghasem Hosseini,The Queen,0
2012,Crystal Simorgh Awards,Best Title,Dariush Mehrjui,Orange Suit,0
2012,Crystal Simorgh Awards,Best Feature,Ali Sartipi  and Mehdi Davari,The Wooden Bridge,0
2012,Crystal Simorgh Awards,Best Title,Manouchehr Mohammadi,Kissing the Moon-Like Face,0
2013,Crystal Simorgh Awards,Best Motion picture,Mohsen Ali-Akbari,Give Back,1
2013,Crystal Simorgh Awards,Best Title,Amir Samavati,Trapped,0
2013,Crystal Simorgh Awards,Best Feature,Mahmoud Razavi,The Corridor,0
2013,Crystal Simorgh Awards,Best Movie,Faramarz Gharibian,Sinners,0
2013,Crystal Simorgh Awards,Best Feature,Siamak Poursharif,Berlin -7°,0
2014,Crystal Simorgh Awards,Best Motion picture,Taghi Aligholizadeh,Hussein Who Said No,1
2014,Crystal Simorgh Awards,Best Movie,Behrouz Afkhami and Jamal Sadatian,"Azar, Shahdokht, Parviz and Others",1
2014,Crystal Simorgh Awards,Best Motion picture,Farabi Cinema Foundation,Che,0
2014,Crystal Simorgh Awards,Best Feature,Mohammad-Hossein Ghasemi  and Abouzar Pourmohammadi,Track 143,0
2014,Crystal Simorgh Awards,Best Feature,Rakhshan Bani-Etemad,Tales,0
2015,Crystal Simorgh Awards,Best Feature,Bita Mansouri,Crazy Rook,1
2015,Crystal Simorgh Awards,Best Feature,Farzad Motamen and Ali Hazrati,The Long Farewell,0
2015,Crystal Simorgh Awards,Best Title,Alireza Raisian,Time to Love,0
2015,Crystal Simorgh Awards,Best Feature,Manouchehr Shahsavari,Mazar Sharif,0
2015,Crystal Simorgh Awards,Best Feature,Javad Norouzbeigi,I Am Diego Maradona,0
2016,Crystal Simorgh Awards,Best Title,Habibollah Valinejad,Standing in the Dust,1
2016,Crystal Simorgh Awards,Best Movie,Saeid Malekan,Life and A Day,0
2016,Crystal Simorgh Awards,Best Title,Kamal Tabrizi,Mina's Choice,0
2016,Crystal Simorgh Awards,Best Motion picture,Reza Mirkarimi,Daughter,0
2016,Crystal Simorgh Awards,Best Movie,Farzad Motamen,When Did You See Sahar Last Time?,0
2017,Crystal Simorgh Awards,Best Motion picture,Mahmoud Razavi,Midday Adventures,1
2017,Crystal Simorgh Awards,Best Motion picture,Ali Jalilvand,"No Date, No Signature",0
2017,Crystal Simorgh Awards,Best Motion picture,Javad Norouzbeigi,Searing Summer,0
2017,Crystal Simorgh Awards,Best Motion picture,Jahangir Kosari,Ferrari,0
