year,ceremony,category,nominee,film,won
2021,BAFICI Awards,Best Argentinian Motion picture,Javier Van de Couter,Spanish: Implosión,1
2021,BAFICI Awards,Best Argentinian Helmer,Jonathan Perel,Responsabilidad empresarial,1
2021,BAFICI Awards,Best Latin-American Motion picture,Paul Venegas,Vacío,1
2019,BAFICI Awards,Best Movie,Isabelle Dupuis and Tim Geraghty,The Unicorn,1
2019,BAFICI Awards,Best Filmmaker,Louis Garrel,A Faithful Man,1
2019,BAFICI Awards,Best Actress,Ella Smith for Ray & Liz,,1
2019,BAFICI Awards,Best Actor,Keita Nimomiya,We Are Little Zombies,1
2019,BAFICI Awards,Best Original Music,Mica Levi,Monos,1
2019,BAFICI Awards,Special Jury Prize,Lucía Garibaldi,Los tiburones,1
2019,BAFICI Awards,Best Argentinian Feature,Lucio Castro,Fin de siglo,1
2019,BAFICI Awards,Best Argentinian Helmer,Eloísa Solaas,Las facultades,1
2019,BAFICI Awards,Argentinian Special Mention,Santiago Loza,Brief Story from the Green Planet,1
2019,BAFICI Awards,Best Latin-American Feature,Juan Álvarez Neme,La fundición del tiempo,1
2019,BAFICI Awards,Audience Honor for Foreign Feature,Ana Isabel Bustamante,La asfixia,1
2019,BAFICI Awards,Audience Honor for National Motion picture,Sofía Mora,Método Livingston,1
2018,BAFICI Awards,Best Motion picture,Mariano Llinás,La Flor,1
2018,BAFICI Awards,Best Helmer,Tiago Melo,Azougue Nazaré,1
2018,BAFICI Awards,Best Actress,"Pilar Gamboa , Elisa Carricajo , Valeria Correa  and Laura Paredes",La Flor,1
2018,BAFICI Awards,Best Actor,Anders Juul,A Horrible Woman,1
2018,BAFICI Awards,Special Jury Prize,Japanese: Ujicha,Violence Voyager,1
2018,BAFICI Awards,Special Mention,Lee Kwang-kuk ; As boas maneiras,A Tiger in Winter,1
2018,BAFICI Awards,Best Argentinian Motion picture,Albertina Carri,Las hijas del fuego,1
2018,BAFICI Awards,Best Latin-American Feature,Marcos Loayza,Spanish: Averno,1
2018,BAFICI Awards,Audience Honor for Foreign Motion picture,Santiago Ciacedo,Virus Tropical,1
2018,BAFICI Awards,Audience Honor for National Motion picture,Sol Miraglia and Hugo Manso,Foto Estudio Luisita,1
2017,BAFICI Awards,Best Movie,Adrián Orr,Niñato,1
2017,BAFICI Awards,Best Director,Carla Simón,Estiu 1993,1
2017,BAFICI Awards,Best Individual Acting,Daniela Castillo,Reinos,1
2017,BAFICI Awards,Best Cast,Clarisa Navas,Hoy partido a las 3,1
2017,BAFICI Awards,Special Jury Accolade,Kiro Russo,Viejo Calavera,1
2017,BAFICI Awards,Special Mention,Affonso Uchôa  and João Dumans,Arábia,1
2017,BAFICI Awards,Best Argentinian Motion picture,Alejo Moguillansky,La vendedora de fósforos,1
2017,BAFICI Awards,Best Latin-American Movie,Marília Hughes Guerreiro and Cláudio Marques,A Cidade do Futuro,1
2017,BAFICI Awards,Audience Honor for Foreign Feature,Carla Simón,Estiu 1993,1
2017,BAFICI Awards,Audience Accolade for National Feature,María Álvarez,Las cinéphilas,1
2016,BAFICI Awards,Best Title,Francisco Márquez and Andrea Testa,La Larga Noche de Francisco Sanctis,1
2016,BAFICI Awards,Best Filmmaker,Tamer El Said,Arabic: Akher ayam el madina,1
2016,BAFICI Awards,Best Actor,Spanish: Diego Velázquez,La Larga Noche de Francisco Sanctis,1
2016,BAFICI Awards,Best Actress,Liliana Trujillo,Rosa Chumbe,1
2016,BAFICI Awards,Special Jury Accolade,Edgardo Castro,Spanish: La noche,1
2016,BAFICI Awards,Special Mention,Jonatan Relayze,Rosa Chumbe,1
2016,BAFICI Awards,Special Mention,João Nicolau,Portuguese: John From,1
2016,BAFICI Awards,Best Argentinian Feature,Darío Mascambroni,Primero enero,1
2016,BAFICI Awards,Best Latin-American Feature,Homer Etminani,Inmortal,1
2016,BAFICI Awards,Audience Laurel for Foreign Feature,,Not awarded,1
2016,BAFICI Awards,Audience Honor for National Title,Diego Marcone,Raídos,1
2015,BAFICI Awards,Best Feature,Chaitanya Tamhane,Court,1
2015,BAFICI Awards,Best Director,Nadav Lapid,The Kindergarten Teacher,1
2015,BAFICI Awards,Best Actor,Vivek Gomber,Court,1
2015,BAFICI Awards,Best Actress,Verónica Llinás,Spanish: La Mujer de los Perros,1
2015,BAFICI Awards,Special Jury Honor,Soon‑Mi Yoo  & Ela volta na quinta,Songs from the North,1
2015,BAFICI Awards,Special Mention,Jean‑Gabriel Périot,French: Une Jeunesse Allemande,1
2015,BAFICI Awards,Best Argentinian Movie,Matías Piñeiro,La Princesa de Francia,1
2014,BAFICI Awards,Best Movie,Mitra Farahani,Persian: Fifi Howls from Happiness,1
2014,BAFICI Awards,Best Helmer,Daniel & Diego Vega,El Mudo,1
2014,BAFICI Awards,Best Actor,Fernando Bacilio,El Mudo,1
2014,BAFICI Awards,Best Actress,Sophie Desmarais,Sarah préfère la course,1
2014,BAFICI Awards,Special Jury Honor,Hernán Rosselli,Mauro,1
2014,BAFICI Awards,Special Mention,,"El Futuro  & Mary Is Happy, Mary Is Happy",1
2014,BAFICI Awards,Best Argentinian Title,Alejo Moguillansky & Fia-Stina Sandlund,El Escarabajo de Oro,1
2014,BAFICI Awards,Audience Laurel for National Feature,Julián Montero Ciancio,Mientras estoy cantando,1
2013,BAFICI Awards,Best Feature,Peter Strickland,Berberian Sound Studio,1
2013,BAFICI Awards,Best Director,Matt Porter,I Used to Be Darker,1
2013,BAFICI Awards,Best Actor,Francesco Carril,Los Ilusos,1
2013,BAFICI Awards,Best Actress,María Villar / Agustina Muñoz  / Elisa Carricajo  / Romina Paula,Spanish: Viola,1
2013,BAFICI Awards,Special Jury Laurel,,Leones,1
2013,BAFICI Awards,Special Mention,,Playback,1
2013,BAFICI Awards,Best Argentinian Title,,Spanish: LaPaz,1
2013,BAFICI Awards,Audience Prize for Foreign Feature,,Anina,1
2013,BAFICI Awards,Audience Prize for National Title,,Ramón Ayala,1
2012,BAFICI Awards,Best Motion picture,Nadav Lapid,Policeman,1
2012,BAFICI Awards,Best Director,Nadav Lapid,Policeman,1
2012,BAFICI Awards,Best Actor,Martín Piroyansky,La araña vampiro,1
2012,BAFICI Awards,Best Actress,Zoé Héran,Tomboy,1
2012,BAFICI Awards,Special Jury Accolade,Maximiliano Schonfeld,Germania,1
2012,BAFICI Awards,Special Mention,José Luis García,La chica del sur,1
2012,BAFICI Awards,Best Argentinian Feature,Gastón Solnicki,Papirosen,1
2012,BAFICI Awards,Audience Laurel for Foreign Title,José Luis García,La chica del sur,1
2011,BAFICI Awards,Best Title,Sylvain George,Qu’ils reposent en révolte (des figures de guerres),1
2011,BAFICI Awards,Best Filmmaker,Athina Rachel Tsangari,Attenberg,1
2011,BAFICI Awards,Best Actor,Jorge Jelinek,La vida útil,1
2011,BAFICI Awards,Best Actress,Jeanne Balibar,At Ellen’s Age,1
2011,BAFICI Awards,Special Jury Honor,Santiago Mitre,El estudiante,1
2011,BAFICI Awards,Special Mention,,Mercado de Futuros   & Las marimbas del infierno  & Os Monstros,1
2011,BAFICI Awards,Best Argentinian Movie,Hermes Paralluelo,Yatasto,1
2010,BAFICI Awards,Best Title,Pedro González‑Rubio,Alamar,1
2010,BAFICI Awards,Best Helmer,Corneliu Porumboiu,"Police, Adjective",1
2010,BAFICI Awards,Best Actor,Dragoș Bucur,"Police, Adjective",1
2010,BAFICI Awards,Best Actress,Pilar Gamboa  & María Villar (tie),Lo que más quiero,1
2010,BAFICI Awards,Special Jury Prize,Pietro Marcello,La bocca del lupo,1
2010,BAFICI Awards,Best Argentinian Movie,Gonzalo Castro,Invernadero,1
2009,BAFICI Awards,Best Movie,,"Aquele Querido Mês de Agosto, by Miguel Gomes",1
2009,BAFICI Awards,Best Filmmaker,Maren Ade,Everyone Else,1
2009,BAFICI Awards,Best Actor,Alfredo Castro,Tony Manero,1
2009,BAFICI Awards,Best Actress,Maria Dinulescu,Hooked,1
2009,BAFICI Awards,Special Jury Laurel,,"Gasolina, by Julio Hernández Cordón",1
2009,BAFICI Awards,Special Mention,,"Todos mienten, by Matías Piñeiro",1
2009,BAFICI Awards,Best Argentinian Feature,,"Castro, by Alejo Moguillansky",1
2008,BAFICI Awards,Best Movie,Yulene Olaizola,Intimidades de Shakespeare y Víctor Hugo,1
2008,BAFICI Awards,Best Helmer,Lance Hammer,Ballast,1
2008,BAFICI Awards,Best Actor,Lee Kang-sheng,Help Me Eros,1
2008,BAFICI Awards,Best Actress,Dan Liu,Night Train,1
2008,BAFICI Awards,Special Jury Prize,,Night Train,1
2008,BAFICI Awards,Special Mention,John Gianvito,Profit Motive and the Whispering Wind,1
2008,BAFICI Awards,Best Argentinian Title,Alejo Hoijman,Unidad 25,1
