year,ceremony,category,nominee,film,won
2016,Grande Prêmio do Cinema Brasileiro,Best Movie,,"Chatô, o Rei do Brasil",0
2016,Grande Prêmio do Cinema Brasileiro,Best Feature,,Sangue Azul,0
2016,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Tudo Que Aprendemos Juntos,0
2017,Grande Prêmio do Cinema Brasileiro,Best Feature,,Aquarius,1
2017,Grande Prêmio do Cinema Brasileiro,Best Feature,,Boi Neon,0
2017,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Elis,0
2017,Grande Prêmio do Cinema Brasileiro,Best Movie,,Mãe Só Há Uma,0
2017,Grande Prêmio do Cinema Brasileiro,Best Movie,,Nise: O Coração da Loucura,0
2018,Grande Prêmio do Cinema Brasileiro,Best Feature,,Bingo: O Rei das Manhãs,1
2018,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,A Glória e a Graça,0
2018,Grande Prêmio do Cinema Brasileiro,Best Movie,,Como Nossos Pais,0
2018,Grande Prêmio do Cinema Brasileiro,Best Feature,,Era o Hotel Cambridge,0
2018,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Gabriel e a Montanha,0
2019,Grande Prêmio do Cinema Brasileiro,Best Title,,Benzinho,1
2019,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,A Voz do Silêncio,0
2019,Grande Prêmio do Cinema Brasileiro,Best Feature,,Chacrinha: O Velho Guerreiro,0
2019,Grande Prêmio do Cinema Brasileiro,Best Feature,,O Grande Circo Místico,0
2019,Grande Prêmio do Cinema Brasileiro,Best Movie,,O Paciente - O Caso Tancredo Neves,0
2020,Grande Prêmio do Cinema Brasileiro,Best Title,,Bacurau,1
2020,Grande Prêmio do Cinema Brasileiro,Best Feature,,A Vida Invisível,0
2020,Grande Prêmio do Cinema Brasileiro,Best Title,,Divino Amor,0
2020,Grande Prêmio do Cinema Brasileiro,Best Title,,Hebe: A Estrela do Brasil,0
2020,Grande Prêmio do Cinema Brasileiro,Best Title,,Simonal,0
2021,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,A Febre,1
2021,Grande Prêmio do Cinema Brasileiro,Best Movie,,A Divisão,0
2021,Grande Prêmio do Cinema Brasileiro,Best Title,,Boca de Ouro,0
2021,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Cidade Pássaro,0
2021,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Pacarrete,0
2022,Grande Prêmio do Cinema Brasileiro,Best Movie,,Marighella,1
2022,Grande Prêmio do Cinema Brasileiro,Best Title,,7 Prisioneiros,0
2022,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Depois a Louca Sou Eu,0
2022,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Deserto Particular,0
2022,Grande Prêmio do Cinema Brasileiro,Best Title,,Homem Onça,0
2023,Grande Prêmio do Cinema Brasileiro,Best Title,,Marte Um,1
2023,Grande Prêmio do Cinema Brasileiro,Best Feature,,A Viagem de Pedro,0
2023,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Eduardo e Mônica,0
2023,Grande Prêmio do Cinema Brasileiro,Best Feature,,Medida Provisória,0
2023,Grande Prêmio do Cinema Brasileiro,Best Feature,,Paloma,0
2024,Grande Prêmio do Cinema Brasileiro,Best Title,,Pedágio,1
2024,Grande Prêmio do Cinema Brasileiro,Best Movie,,"Mussum, O Filmis",0
2024,Grande Prêmio do Cinema Brasileiro,Best Title,,Noites Alienígenas,0
2024,Grande Prêmio do Cinema Brasileiro,Best Feature,,Nosso Sonho - A História de Claudinho e Bochecha,0
2024,Grande Prêmio do Cinema Brasileiro,Best Feature,,O Sequestro do Voo 375,0
2025,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Ainda Estou Aqui,1
2025,Grande Prêmio do Cinema Brasileiro,Best Feature,,Baby,0
2025,Grande Prêmio do Cinema Brasileiro,Best Feature,,Kasa Branca,0
2025,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Malu,0
2025,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Motel Destino,0
2002,Grande Prêmio do Cinema Brasileiro,Best Helmer,Laís Bodanzky,Bicho de Sete Cabeças,1
2002,Grande Prêmio do Cinema Brasileiro,Best Director,Eduardo Coutinho,Bufo & Spallanzani,1
