year,ceremony,category,nominee,film,won
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Salvador Aguirre,De ida y vuelta,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Gerardo Tort,De la calle,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Juan Carlos Martín,Gabriel Orozco,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,"Marcela Arteaga & La pasión de María Elena, de Mercedes Moncada",Recuerdos,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Fernando Eimbcke,Temporada de patos,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Jaime Aparicio,El mago,1
2006,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Maryse Sistach,La niña en la piedra,1
2007,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Simón Bross,Malos hábitos,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Rodrigo Plá,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Gerardo Tort,Viaje redondo,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Nicolás Pereda,Perpetuum mobile,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Paula Markovitch,El premio,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Tom Gustafson,El mariachi gringo,1
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Benjamín Cann,Crónica de un desayuno,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Laura Mañá,Sexo por compasión,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Juan Carlos Martín,Gabriel Orozco,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Julián Hernández,"Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor",1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Fernando Eimbcke,Temporada de patos,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor helmer,Ricardo Benet,Noticias lejanas,1
2006,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Javier Patrón,Fuera del cielo,1
2007,Guadalajara IFF Awards,Premios Mayahuel - Mejor helmer,Enrique Begne,Dos abrazos,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Fernando Eimbcke,Lake Tahoe,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Alberto Cortés,Corazón del tiempo,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Carlos Carrera,De la infancia,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Odin Salazar,Burros,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor helmer,Everardo Gout,Días de gracia,1
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Fernando Luján,En el país de no pasa nada,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Luis Fernando Peña,De la calle,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Bruno Bichir,Ciudades oscuras,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Damián Alcázar,El crimen del padre Amaro,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Enrique Arreola,"Temporada de patos & Roberto Espejo, por Puños rosas",1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Erando González,El mago,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Mario Zaragoza,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Patricio Castillo,Crónicas chilangas,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Damián Alcázar,"De la infancia & Unax Ugalde, por Cefalópodo",1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Jesús Ochoa,Aquí entre nos,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor actor,Kuno Becker,Espacio interior,1
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Julieta Egurrola,En el país de no pasa nada,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Karina Gidi,"Demasiado amor & Ximena Ayala, por Perfume de violetas",1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Gabriela Canudas,La mujer del pueblo,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Katy Jurado,Un secreto de Esperanza,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Danny Perea,Temporada de patos,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Maya Zapata,El mago,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Dolores Heredia,"Enemigos íntimos, Conozca la cabeza de Juan Pérez y Desierto adentro",1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Teresa Ruiz,Viaje redondo,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Úrsula Pruneda,Las buenas hierbas,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Paula Galinelli Hertzog,El premio,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor actriz,Martha Higareda,El mariachi gringo,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Carlos Reygadas,Japón,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Fernando Eimbcke,Temporada de patos,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Marcel Sisniega,El baile de la iguana,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Rodrigo Plá y Laura Santullo,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Carlos Enderle,Crónicas chilangas,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,María Novaro,Las buenas hierbas,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Jesús Magaña,Abolición de la propiedad,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor guion,Miguel Bonilla,Diente por diente,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,"Ángel Goded, El gavilán de la sierra","Ángel Goded, El gavilán de la sierra",1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Everardo González,La canción del pulque,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Ciro Cabello y Alejandro Cantú,Adán y Eva,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Martín Boege,Noticias lejanas,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Serguei Saldívar Tanaka,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Tobias Dantum,Voy a explotar,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Gerardo Barroso,Las buenas hierbas,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Alejandro Cantú,Burros,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor fotografía,Jerónimo Rodríguez,Todo mundo tiene a alguien menos yo,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor dirección artística,Gloria Carrasco,Cuentos de hadas para dormir cocodrilos,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor dirección artística,Alejandro Reygadas,Japón,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor dirección artística,Hania Robledo,Puños rosas,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor música,Eduardo Gamboa,Ciudades oscuras,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor música,Rosino Serrano,El crimen del padre Amaro,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor música,Alejandro Rosso,Temporada de patos,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor sonido,Antonio Isordia y Christian Manzuto,Gabriel Orozco,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor sonido,Aurora Ojeda,"Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor",1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor sonido,Lena Esquenazi,Temporada de patos,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor edición,Roberto Bolado,Ciudades oscuras,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor edición,Juan Manuel Figueroa,La canción del pulque,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor edición,Daniel A. Fort,Un día sin mexicanos,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Iván Ávila Dueñas,Adán y Eva,1
2006,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Andrés León Becker y Javier Solar,Más que a nada en el mundo,1
2007,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Aarón Fernández,Partes usadas,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Emilio Portes,Conozca la cabeza de Juan Pérez,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Carlos Enderle,Crónicas chilangas,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Rubén Imaz,Cefalópodo,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Iria Gómez Concheiro,Asalto al cine,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor ópera prima,Sebastián del Amo,El fantástico mundo de Juan Orol,1
2007,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Ernesto Contreras,Párpados azules,1
2008,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Rodrigo Plá,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Gerardo Naranjo,Voy a explotar,1
2010,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,María Novaro,Las buenas hierbas,1
2011,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,"Paula MarkovitchMención especial: Burros, de Odín Salazar",El premio,1
2012,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Gabriel Mariño,Un mundo secreto,1
2013,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,"Roberto FiescoMención especial: Afuera, en la oscuridad, de Michael Mayer",Quebranto,1
2014,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Nicolás Echevarría,Eco de la montaña,1
2015,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,"Gabriel RipsteinMención especial: El tiempo suspendido, de Natalia Bruschtein & Shih, de Bruno Zaffora y Rafael Ortega Velderrain",600 millas,1
2016,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,"Joaquín del PasoMención especial: Margarita, de Bruno Santamaría Razo",Maquinaria Panamericana,1
2017,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Everardo González,La libertad del diablo,1
2018,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Restos de viento de Jimena Montemayor Loyo,Restos de viento de Jimena Montemayor Loyo,1
2019,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,"Familia de medianoche de Luke LorentzenMención especial: Oblatos, el vuelo que surcó la noche de Acelo Ruiz Villanueva","Familia de medianoche de Luke LorentzenMención especial: Oblatos, el vuelo que surcó la noche de Acelo Ruiz Villanueva",1
2020,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Kokoloko de Gerardo Naranjo,Kokoloko de Gerardo Naranjo,1
2021,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,El comediante de Rodrigo Guardiola y Gabriel Nuncio,El comediante de Rodrigo Guardiola y Gabriel Nuncio,1
2022,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,El reino de Dios de Claudia Sainte–Luce,El reino de Dios de Claudia Sainte–Luce,1
2023,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Heroico de David ZonanaMención especial: Una jauría llamada Ernesto de Everardo González,Heroico de David ZonanaMención especial: Una jauría llamada Ernesto de Everardo González,1
2024,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Pierre Saint-Martin,No nos moverán,1
2025,Guadalajara IFF Awards,Premios Mezcal - Mejor película mexicana,Llamarse Olimpia de Indira Cato Mención especial: Boca vieja de Yovegami Ascona Mora,Llamarse Olimpia de Indira Cato Mención especial: Boca vieja de Yovegami Ascona Mora,1
2017,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Sofía Gómez Córdova,Los Años Azules,1
2018,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Jimena Montemayor Loyo,Restos de viento,1
2019,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Luke Lorentzen,Familia de medianoche,1
2021,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Antonio Hernández,Nos Hicieron Noche,1
2022,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Claudia Sainte–Luce,El reino de Dios,1
2023,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Gisela Delgadillo,Kenya,1
2024,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Isabel Cristina Fregoso,La arriera,1
2025,Guadalajara IFF Awards,Premios Mezcal - Mejor dirección,Victoria Franco,Doce lunas,1
2017,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,José Manuel Poncelis y Eligio Meléndez,Sueño en otro idioma,1
2018,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Noé Hernández,Ocho de cada diez,1
2019,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Benny Emmanuel,Detrás de la montaña,1
2020,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Alfredo Castro,Tengo miedo torero,1
2021,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Fernando Xavier de Casta,Plaza Catedral,1
2022,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Diego Armando Lara Lagunas,El reino de Dios,1
2023,Guadalajara IFF Awards,Premios Mezcal - Mejor actor,Fernando Cuautle,Heroico,1
2017,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Paloma Domínguez,Los Años Azules,1
2018,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Daniela Schmidt,Ocho de cada diez,1
2019,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Diana Sedano,Yo Necesito Amor,1
2020,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Martha Reyes,Los lobos,1
2021,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Ilse Salas,Plaza Catedral,1
2022,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Marta Aura,Coraje,1
2023,Guadalajara IFF Awards,Premios Mezcal - Mejor actriz,Rocío de la Mañana,Adolfo,1
2024,Guadalajara IFF Awards,Premios Mezcal - Mejor interpretación,Juan Ramón López,Vergüenza,1
2025,Guadalajara IFF Awards,Premios Mezcal - Mejor interpretación,Emiliano Zurita,"Autos, mota y rocanrol",1
2017,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,María Secco,La libertad del diablo,1
2018,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,César Gutiérrez Miranda,La negrada,1
2019,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,César Gutiérrez Miranda,Yo necesito amor,1
2020,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,Sofía Oggioni,Selva trágica,1
2021,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,María Secco,El comediante,1
2022,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,Carlos Correa,El reino de Dios,1
2023,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,Santiago Sánchez,Mujeres del alba,1
2024,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,María Sarasvati Hererra,La arriera,1
2025,Guadalajara IFF Awards,Premios Mezcal - Mejor fotografía,Sergio Armstrong,Doce lunas,1
2002,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Luiz Fernando Carvalho,A la izquierda del padre,1
2003,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Pablo Trapero,El bonaerense,1
2004,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Icíar Bollaín,Te doy mis ojos,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Sebastián Cordero,Crónicas,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,"Rodrigo Moreno & Cinema, aspirinas e Urubus, de Marcelo Gomes",El custodio,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Ernesto Contreras,Párpados azules,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,"Gerardo Olivares Mención Especial del jurado: El camino, de Ishtar Yasin Gutiérrez",14 kilómetros,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Claudia Llosa,La teta asustada,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Carlos Gaviria,Retratos en un mar de mentiras,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Pablo Larraín,Post mostem,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Milagros Mumenthaler,Abrir puertas y ventanas,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,José Luis Valle González,Workers,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Matías Lucchesi,Ciencias naturales,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Jayro Bustamante,Ixcanul,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Felipe Guerrero,Oscuro animal,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Carlos Lechuga,Santa y Andrés,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Matar a Jesús de Laura Mora Ortega,Matar a Jesús de Laura Mora Ortega,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Petra de Jaime Rosales,Petra de Jaime Rosales,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Araña de Andres Wood,Araña de Andres Wood,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Claudia Huaiquimilla,Mis hermanos sueñan despiertos,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Silvina Schnicer y Ulises Porras,Carajita,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Valentina Maurel,Tengo sueños eléctricos,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,Carolina Markowicz,Pedágio,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor película,O último azul de Gabriel Mascaro,O último azul de Gabriel Mascaro,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Alice de Chico Teixeira,La casa de Alicia,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Luis Filipe Rocha,La otra orilla,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Miguel Gomes,Aquel querido mes de agosto,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Juan Carlos Valdivia,Zona sur,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Laura Amelia Guzmán e Israel Cárdenas,Jean Gentil,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Isaki Lacuesta,Los pasos dobles,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,"Roberto Fiesco & Xingu, de Cao Hamburger",Quebranto,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Marcelo Gomes y Cao Guimarães,O Homem das Multidões,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Celso García,La delgada línea amarilla,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Amir Galván Cervera y Mitzi Vanessa Arreola,La 4ª Compañía,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,José María Cabral,Carpinteros,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Jo Sol,Vivir y otras ficciones,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Lucía Garibaldi,Los tiburones,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Samuel Kishi,Los lobos,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,No otorgado,No otorgado,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,No otorgado,No otorgado,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Premio especial del jurado,Kattia González,Las hijas,1
2002,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Luiz Fernando Carvalho,A la izquierda del padre,1
2003,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Pablo Trapero,El bonaerense,1
2004,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Daniel Burman,El abrazo partido,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Isabel Coixet,La vida secreta de las palabras,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Paulo Caldas,Desierto feliz,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Eliseo Subiela,No mires para abajo,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Chus Gutiérrez,Retorno a Hansala,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Sebastián Cordero,Rabia,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Fernando León de Aranoa,Amador,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Sebastián Cordero,Pescador,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Fernando Coimbra,O lobo atrás da Porta,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,No otorgado,No otorgado,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Jayro Bustamante,Ixcanul,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Felipe Guerrero,Oscuro animal,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Joel Calero,La última tarde,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Anahí Berneri,Alanis,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Jaime Rosales,Petra,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Juan Pablo Félix,Karnawal,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Nicolás Postiglione,Inmersión,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Silvina Schnicer y Ulises Porras,Carajita,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Estibaliz Urresola Solaguren,20.000 especies de abejas,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Maju de Paiva y Bernando Florim,Avenida Beira-Mar,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor dirección,Eva Libertad,Sorda,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Damián Alcázar,Crónicas,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Joao Miguel,"Cinema, aspirinas e Urubus",1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Selton Mello,Olor a caño,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Marlon Moreno,Perro come perro,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Andrés Parra,La pasión de Gabriel,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Gustavo Sánchez,"Rabia & Pascual Loayza, por Zona sur",1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Alfredo Castro,Post mostem,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Andrés Crespo,Pescador,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Ernesto Alterio,Infancia clandestina,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Gustavo Sánchez Parra,La tirisia,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Joaquín Furriel,El patrón: radiografía de un crimen,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Adrián Ladrón,La 4ª Compañía,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Jean Jean,Carpinteros,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Luis Gerardo Méndez,Tiempo compartido & Giovanny Rodríguez por Matar a Jesús,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Dario Grandinetti,Rojo,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Luis Tosar de Interperie & Alfredo Castro de Karnawal,Luis Tosar de Interperie & Alfredo Castro de Karnawal,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Iván Cáceres,Mis hermanos sueñan despiertos,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Nahuel Pérez Biscayart,"Un año, una noche",1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actor,Reinaldo Amién,Tengo sueños eléctricos,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Mirella Pascual,Whisky,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Fernanda Montenegro y Fernanda Torres,Casa de arena,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Carla Ribas,La casa de Alicia,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,María D'aires,La otra orilla,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Magaly Solier,La teta asustada,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Paola Baldión,"Retratos en un mar de mentiras & Alma Blanco, por La Yuma",1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Magaly Solier,"Amador Mención especial: Itziar Aizpuru, por 80 egunean",1
