award_show,year,category,reason
Kerala State Film Awards,,Best Supporting Actor,"page fetch failed: Could not fetch 'Kerala State Film Award for Best Supporting Actor': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Kerala State Film Awards,,Best Supporting Actress,"page fetch failed: Could not fetch 'Kerala State Film Award for Best Supporting Actress': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Kerala State Film Awards,,Best Male Playback Singer,"page fetch failed: Could not fetch 'Kerala State Film Award for Best Male Playback Singer': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Kerala State Film Awards,,Best Female Playback Singer,"page fetch failed: Could not fetch 'Kerala State Film Award for Best Female Playback Singer': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Kerala State Film Awards,,Best Cinematographer,page fetch failed: Could not fetch 'Kerala State Film Award for Best Cinematographer': 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=parse&page=Kerala+State+Film+Award+for+Best+Cinematographer&format=json&prop=text&redirects=1
Kerala State Film Awards,,Best Screenplay Writer,"page fetch failed: Could not fetch 'Kerala State Film Award for Best Screenplay Writer': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
