year,ceremony,category,nominee,film,country,winner,source_url
1991,Berlin IFF 1991,Silver Bear Grand Jury Prize,Soviet Union,Сатана,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1992,Berlin IFF 1992,Golden Bear,,Grand Canyon,,1,https://en.wikipedia.org/wiki/Golden_Bear
1992,Berlin IFF 1992,Silver Bear Best Actor,Armin Mueller-Stahl,Utz,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1992,Berlin IFF 1992,Silver Bear Best Actress,Maggie Cheung,Center Stage,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1992,Berlin IFF 1992,Silver Bear Best Director,Jan Troell,Il Capitano: A Swedish Requiem,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1992,Berlin IFF 1992,Silver Bear Grand Jury Prize,István Szabó,"Sweet Emma, Dear Böbe",,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1993,Berlin IFF 1993,Golden Bear,,The Wedding Banquet,,1,https://en.wikipedia.org/wiki/Golden_Bear
1993,Berlin IFF 1993,Golden Bear,,香魂女,,1,https://en.wikipedia.org/wiki/Golden_Bear
1993,Berlin IFF 1993,Silver Bear Best Actor,Denzel Washington,Malcolm X,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1993,Berlin IFF 1993,Silver Bear Best Actress,Michelle Pfeiffer,Love Field,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1993,Berlin IFF 1993,Silver Bear Best Director,Andrew Birkin,The Cement Garden,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1993,Berlin IFF 1993,Silver Bear Grand Jury Prize,"France, United States",Arizona Dream,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1994,Berlin IFF 1994,Golden Bear,,In the Name of the Father,,1,https://en.wikipedia.org/wiki/Golden_Bear
1994,Berlin IFF 1994,Silver Bear Best Actor,Tom Hanks,Philadelphia,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1994,Berlin IFF 1994,Silver Bear Best Actress,Crissy Rock,"Ladybird, Ladybird",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1994,Berlin IFF 1994,Silver Bear Best Director,Krzysztof Kieślowski,Three Colours: White,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1994,Berlin IFF 1994,Silver Bear Grand Jury Prize,Tomás Gutiérrez Alea & Juan Carlos Tabío,Strawberry and Chocolate,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1995,Berlin IFF 1995,Golden Bear,,The Bait,,1,https://en.wikipedia.org/wiki/Golden_Bear
1995,Berlin IFF 1995,Silver Bear Best Actor,Paul Newman,Nobody's Fool,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1995,Berlin IFF 1995,Silver Bear Best Actress,Josephine Siao,Summer Snow,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1995,Berlin IFF 1995,Silver Bear Best Director,Richard Linklater,Before Sunrise,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1995,Berlin IFF 1995,Silver Bear Grand Jury Prize,United States,Smoke,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1996,Berlin IFF 1996,Golden Bear,,Sense and Sensibility,,1,https://en.wikipedia.org/wiki/Golden_Bear
1996,Berlin IFF 1996,Silver Bear Best Actor,Sean Penn,Dead Man Walking,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1996,Berlin IFF 1996,Silver Bear Best Actress,Anouk Grinberg,My Man,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1996,Berlin IFF 1996,Silver Bear Best Director,Richard Loncraine,Richard III,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1996,Berlin IFF 1996,Silver Bear Best Director,The Sun Has Ears,太陽有耳,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1996,Berlin IFF 1996,Silver Bear Grand Jury Prize,Bo Widerberg,All Things Fair,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1997,Berlin IFF 1997,Golden Bear,,The People vs. Larry Flynt,,1,https://en.wikipedia.org/wiki/Golden_Bear
1997,Berlin IFF 1997,Silver Bear Best Actor,Leonardo DiCaprio,Romeo + Juliet,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1997,Berlin IFF 1997,Silver Bear Best Actress,Juliette Binoche,The English Patient,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1997,Berlin IFF 1997,Silver Bear Best Director,Eric Heumann,Port Djema,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1997,Berlin IFF 1997,Silver Bear Grand Jury Prize,Tsai Ming-liang,The River,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1998,Berlin IFF 1998,Golden Bear,,Central Station,,1,https://en.wikipedia.org/wiki/Golden_Bear
1998,Berlin IFF 1998,Silver Bear Best Actor,Samuel L. Jackson,Jackie Brown,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1998,Berlin IFF 1998,Silver Bear Best Actress,Fernanda Montenegro,Central Station,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1998,Berlin IFF 1998,Silver Bear Best Director,Neil Jordan,The Butcher Boy,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1998,Berlin IFF 1998,Silver Bear Grand Jury Prize,United States,Wag the Dog,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1999,Berlin IFF 1999,Golden Bear,,The Thin Red Line,,1,https://en.wikipedia.org/wiki/Golden_Bear
1999,Berlin IFF 1999,Silver Bear Best Actor,Michael Gwisdek,Nightshapes,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1999,Berlin IFF 1999,Silver Bear Best Actress,Felice Schragenheim (Jaguar),Felice Schragenheim (Jaguar),,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1999,Berlin IFF 1999,Silver Bear Best Actress,Juliane Köhler,Aimée & Jaguar,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1999,Berlin IFF 1999,Silver Bear Best Director,Stephen Frears,The Hi-Lo Country,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1999,Berlin IFF 1999,Silver Bear Grand Jury Prize,Søren Kragh-Jacobsen,Mifune's Last Song,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2000,Berlin IFF 2000,Golden Bear,,Magnolia,,1,https://en.wikipedia.org/wiki/Golden_Bear
2000,Berlin IFF 2000,Silver Bear Best Actor,Denzel Washington,The Hurricane,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2000,Berlin IFF 2000,Silver Bear Best Actress,Bibiana Beglau,The Legend of Rita,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2000,Berlin IFF 2000,Silver Bear Best Actress,Tatjana,Tatjana,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2000,Berlin IFF 2000,Silver Bear Best Director,Miloš Forman,Man on the Moon,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2000,Berlin IFF 2000,Silver Bear Grand Jury Prize,Zhang Yimou,The Road Home,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2001,Berlin IFF 2001,Golden Bear,,Intimacy,,1,https://en.wikipedia.org/wiki/Golden_Bear
2001,Berlin IFF 2001,Silver Bear Best Actor,Benicio del Toro,Traffic,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2001,Berlin IFF 2001,Silver Bear Best Actress,Kerry Fox,Intimacy,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2001,Berlin IFF 2001,Silver Bear Best Director,Lin Cheng-sheng,Betelnut Beauty,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2001,Berlin IFF 2001,Silver Bear Grand Jury Prize,Wang Xiaoshuai,Beijing Bicycle,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2002,Berlin IFF 2002,Golden Bear,,Bloody Sunday,,1,https://en.wikipedia.org/wiki/Golden_Bear
2002,Berlin IFF 2002,Golden Bear,,千と千尋の神隠し,,1,https://en.wikipedia.org/wiki/Golden_Bear
2002,Berlin IFF 2002,Silver Bear Best Actor,Jacques Gamblin,Safe Conduct,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2002,Berlin IFF 2002,Silver Bear Best Actress,Halle Berry,Monster's Ball,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2002,Berlin IFF 2002,Silver Bear Best Director,Otar Iosseliani,Monday Morning,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2002,Berlin IFF 2002,Silver Bear Grand Jury Prize,Andreas Dresen,Grill Point,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2003,Berlin IFF 2003,Golden Bear,,In This World,,1,https://en.wikipedia.org/wiki/Golden_Bear
2003,Berlin IFF 2003,Silver Bear Best Actor,Sam Rockwell,Confessions of a Dangerous Mind,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2003,Berlin IFF 2003,Silver Bear Best Actress,Clarissa Vaughan,Clarissa Vaughan,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2003,Berlin IFF 2003,Silver Bear Best Actress,Laura Brown,Laura Brown,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2003,Berlin IFF 2003,Silver Bear Best Actress,Nicole Kidman,The Hours,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2003,Berlin IFF 2003,Silver Bear Best Director,Patrice Chéreau,Son frère,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2003,Berlin IFF 2003,Silver Bear Grand Jury Prize,United States,Adaptation,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2004,Berlin IFF 2004,Golden Bear,,Head-On,,1,https://en.wikipedia.org/wiki/Golden_Bear
2004,Berlin IFF 2004,Silver Bear Best Actor,Daniel Hendler,Lost Embrace,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2004,Berlin IFF 2004,Silver Bear Best Actress,Aileen Wuornos,Monster,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2004,Berlin IFF 2004,Silver Bear Best Actress,Catalina Sandino Moreno,Maria Full of Grace,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2004,Berlin IFF 2004,Silver Bear Best Director,Kim Ki-duk,Samaritan Girl,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2004,Berlin IFF 2004,Silver Bear Grand Jury Prize,Daniel Burman,Lost Embrace,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2005,Berlin IFF 2005,Golden Bear,,U-Carmen eKhayelitsha,,1,https://en.wikipedia.org/wiki/Golden_Bear
2005,Berlin IFF 2005,Silver Bear Best Actor,Lou Taylor Pucci,Thumbsucker,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2005,Berlin IFF 2005,Silver Bear Best Actress,Julia Jentsch,Sophie Scholl – The Final Days,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2005,Berlin IFF 2005,Silver Bear Best Director,Marc Rothemund,Sophie Scholl - The Final Days,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2005,Berlin IFF 2005,Silver Bear Grand Jury Prize,Gu Changwei,Peacock,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2006,Berlin IFF 2006,Golden Bear,,Grbavica,,1,https://en.wikipedia.org/wiki/Golden_Bear
2006,Berlin IFF 2006,Silver Bear Best Actor,Moritz Bleibtreu,Atomised,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2006,Berlin IFF 2006,Silver Bear Best Actress,Sandra Hüller,Requiem,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2006,Berlin IFF 2006,Silver Bear Best Director,Michael Winterbottom and Mat Whitecross,The Road to Guantánamo,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2006,Berlin IFF 2006,Silver Bear Grand Jury Prize,"Denmark, Sweden",En Soap,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2006,Berlin IFF 2006,Silver Bear Grand Jury Prize,Jafar Panahi,Offside,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2007,Berlin IFF 2007,Golden Bear,,Tuya's Marriage,,1,https://en.wikipedia.org/wiki/Golden_Bear
2007,Berlin IFF 2007,Silver Bear Best Actor,Julio Chávez,The Other,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2007,Berlin IFF 2007,Silver Bear Best Actress,Nina Hoss,Yella,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2007,Berlin IFF 2007,Silver Bear Best Director,Joseph Cedar,Beaufort,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2007,Berlin IFF 2007,Silver Bear Grand Jury Prize,Ariel Rotter,The Other,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2008,Berlin IFF 2008,Golden Bear,,Elite Squad,,1,https://en.wikipedia.org/wiki/Golden_Bear
2008,Berlin IFF 2008,Silver Bear Best Actor,Reza Naji,The Song of Sparrows,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2008,Berlin IFF 2008,Silver Bear Best Actress,Sally Hawkins,Happy-Go-Lucky,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2008,Berlin IFF 2008,Silver Bear Best Director,Paul Thomas Anderson,There Will Be Blood,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2008,Berlin IFF 2008,Silver Bear Best Screenplay,,In Love We Trust,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2008,Berlin IFF 2008,Silver Bear Grand Jury Prize,United States,Standard Operating Procedure,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2009,Berlin IFF 2009,Golden Bear,,The Milk of Sorrow,,1,https://en.wikipedia.org/wiki/Golden_Bear
2009,Berlin IFF 2009,Silver Bear Best Actor,Sotigui Kouyaté,London River,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2009,Berlin IFF 2009,Silver Bear Best Actress,Birgit Minichmayr,Everyone Else,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2009,Berlin IFF 2009,Silver Bear Best Director,Asghar Farhadi,About Elly,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2009,Berlin IFF 2009,Silver Bear Best Screenplay,,The Messenger,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2009,Berlin IFF 2009,Silver Bear Grand Jury Prize,Maren Ade,Everyone Else,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2009,Berlin IFF 2009,Silver Bear Grand Jury Prize,"Uruguay, Argentina",Gigante,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2010,Berlin IFF 2010,Golden Bear,,Honey,,1,https://en.wikipedia.org/wiki/Golden_Bear
2010,Berlin IFF 2010,Silver Bear Best Actor,Grigoriy Dobrygin,How I Ended This Summer,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2010,Berlin IFF 2010,Silver Bear Best Actor,Sergei Gulybin,Sergei Gulybin,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2010,Berlin IFF 2010,Silver Bear Best Actress,Shinobu Terajima,Caterpillar,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2010,Berlin IFF 2010,Silver Bear Best Director,Roman Polanski,The Ghost Writer,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2010,Berlin IFF 2010,Silver Bear Best Screenplay,,Apart Together,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2010,Berlin IFF 2010,Silver Bear Grand Jury Prize,Florin Șerban,"If I Want to Whistle, I Whistle",,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2011,Berlin IFF 2011,Golden Bear,,A Separation,,1,https://en.wikipedia.org/wiki/Golden_Bear
2011,Berlin IFF 2011,Silver Bear Best Actor,Hodjat,Hodjat,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2011,Berlin IFF 2011,Silver Bear Best Actor,Judge,Judge,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2011,Berlin IFF 2011,Silver Bear Best Actor,Nader's Father,Nader's Father,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2011,Berlin IFF 2011,Silver Bear Best Actor,Payman Maadi,A Separation,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2011,Berlin IFF 2011,Silver Bear Best Actress,Leila Hatami,A Separation,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2011,Berlin IFF 2011,Silver Bear Best Actress,Razieh,Razieh,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2011,Berlin IFF 2011,Silver Bear Best Actress,Somayeh,Somayeh,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2011,Berlin IFF 2011,Silver Bear Best Actress,Termeh,Termeh,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2011,Berlin IFF 2011,Silver Bear Best Director,Ulrich Köhler,Sleeping Sickness,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2011,Berlin IFF 2011,Silver Bear Best Screenplay,,The Forgiveness of Blood,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2011,Berlin IFF 2011,Silver Bear Grand Jury Prize,Béla Tarr,The Turin Horse,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2012,Berlin IFF 2012,Golden Bear,,Caesar Must Die,,1,https://en.wikipedia.org/wiki/Golden_Bear
2012,Berlin IFF 2012,Silver Bear Best Actor,Mikkel Boe Følsgaard,A Royal Affair,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2012,Berlin IFF 2012,Silver Bear Best Actress,Rachel Mwanza,War Witch,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2012,Berlin IFF 2012,Silver Bear Best Director,Christian Petzold,Barbara,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2012,Berlin IFF 2012,Silver Bear Best Screenplay,,A Royal Affair,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2012,Berlin IFF 2012,Silver Bear Grand Jury Prize,Benedek Fliegauf,Just the Wind,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2013,Berlin IFF 2013,Golden Bear,,Child's Pose,,1,https://en.wikipedia.org/wiki/Golden_Bear
2013,Berlin IFF 2013,Silver Bear Best Actor,Nazif Mujić,An Episode in the Life of an Iron Picker,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2013,Berlin IFF 2013,Silver Bear Best Actress,Paulina García,Gloria,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2013,Berlin IFF 2013,Silver Bear Best Director,David Gordon Green,Prince Avalanche,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2013,Berlin IFF 2013,Silver Bear Best Screenplay,,Closed Curtain,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2013,Berlin IFF 2013,Silver Bear Grand Jury Prize,Danis Tanović,An Episode in the Life of an Iron Picker,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2014,Berlin IFF 2014,Golden Bear,,"Black Coal, Thin Ice",,1,https://en.wikipedia.org/wiki/Golden_Bear
2014,Berlin IFF 2014,Silver Bear Best Actor,Liao Fan,"Black Coal, Thin Ice",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2014,Berlin IFF 2014,Silver Bear Best Actress,Haru Kuroki,The Little House,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2014,Berlin IFF 2014,Silver Bear Best Director,Richard Linklater,Boyhood,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2014,Berlin IFF 2014,Silver Bear Best Screenplay,,Stations of the Cross,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2014,Berlin IFF 2014,Silver Bear Grand Jury Prize,"United States, Germany",The Grand Budapest Hotel,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2015,Berlin IFF 2015,Golden Bear,,Taxi,,1,https://en.wikipedia.org/wiki/Golden_Bear
2015,Berlin IFF 2015,Silver Bear Best Actor,Tom Courtenay,45 Years,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2015,Berlin IFF 2015,Silver Bear Best Actress,Charlotte Rampling,45 Years,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2015,Berlin IFF 2015,Silver Bear Best Director,Body,Ciało,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2015,Berlin IFF 2015,Silver Bear Best Director,Radu Jude,Aferim!,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2015,Berlin IFF 2015,Silver Bear Best Screenplay,,The Pearl Button,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2015,Berlin IFF 2015,Silver Bear Grand Jury Prize,Pablo Larraín,The Club,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2016,Berlin IFF 2016,Golden Bear,,Fire at Sea,,1,https://en.wikipedia.org/wiki/Golden_Bear
2016,Berlin IFF 2016,Silver Bear Best Actor,Majd Mastoura,Hedi,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2016,Berlin IFF 2016,Silver Bear Best Actress,Trine Dyrholm,The Commune,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2016,Berlin IFF 2016,Silver Bear Best Director,Mia Hansen-Løve,Things to Come,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2016,Berlin IFF 2016,Silver Bear Best Screenplay,,United States of Love,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2016,Berlin IFF 2016,Silver Bear Grand Jury Prize,Danis Tanović,Death in Sarajevo,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2017,Berlin IFF 2017,Golden Bear,,On Body and Soul,,1,https://en.wikipedia.org/wiki/Golden_Bear
2017,Berlin IFF 2017,Silver Bear Best Actor,Georg Friedrich,Bright Nights,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2017,Berlin IFF 2017,Silver Bear Best Actress,Kim Min-hee,On the Beach at Night Alone,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2017,Berlin IFF 2017,Silver Bear Best Director,Aki Kaurismäki,The Other Side of Hope,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2017,Berlin IFF 2017,Silver Bear Best Screenplay,,A Fantastic Woman,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2017,Berlin IFF 2017,Silver Bear Grand Jury Prize,"Senegal, France",Félicité,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2018,Berlin IFF 2018,Golden Bear,,Touch Me Not,,1,https://en.wikipedia.org/wiki/Golden_Bear
2018,Berlin IFF 2018,Silver Bear Best Actor,Anthony Bajon,The Prayer,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2018,Berlin IFF 2018,Silver Bear Best Actress,Ana Brun,The Heiresses,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2018,Berlin IFF 2018,Silver Bear Best Director,Wes Anderson,Isle of Dogs,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2018,Berlin IFF 2018,Silver Bear Best Screenplay,,Museum,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2018,Berlin IFF 2018,Silver Bear Grand Jury Prize,Małgorzata Szumowska,Mug,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2019,Berlin IFF 2019,Golden Bear,,Synonyms,,1,https://en.wikipedia.org/wiki/Golden_Bear
2019,Berlin IFF 2019,Silver Bear Best Actor,Wang Jingchun,"So Long, My Son",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2019,Berlin IFF 2019,Silver Bear Best Actress,Yong Mei,"So Long, My Son",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2019,Berlin IFF 2019,Silver Bear Best Director,Angela Schanelec,"I Was at Home, But",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2019,Berlin IFF 2019,Silver Bear Best Screenplay,,Piranhas,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2019,Berlin IFF 2019,Silver Bear Grand Jury Prize,François Ozon,By the Grace of God,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2020,Berlin IFF 2020,Golden Bear,,There Is No Evil,,1,https://en.wikipedia.org/wiki/Golden_Bear
2020,Berlin IFF 2020,Silver Bear Best Actor,Elio Germano,Hidden Away,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
2020,Berlin IFF 2020,Silver Bear Best Actress,Paula Beer,Undine,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
2020,Berlin IFF 2020,Silver Bear Best Director,Hong Sang-soo,The Woman Who Ran,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2020,Berlin IFF 2020,Silver Bear Best Screenplay,,Bad Tales,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2020,Berlin IFF 2020,Silver Bear Grand Jury Prize,United States,Never Rarely Sometimes Always,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2021,Berlin IFF 2021,Golden Bear,,Bad Luck Banging or Loony Porn,,1,https://en.wikipedia.org/wiki/Golden_Bear
2021,Berlin IFF 2021,Silver Bear Best Director,Dénes Nagy,Natural Light,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2021,Berlin IFF 2021,Silver Bear Best Screenplay,,Introduction,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
2021,Berlin IFF 2021,Silver Bear Grand Jury Prize,Ryusuke Hamaguchi,Wheel of Fortune and Fantasy,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
2022,Berlin IFF 2022,Golden Bear,,Alcarràs,,1,https://en.wikipedia.org/wiki/Golden_Bear
2022,Berlin IFF 2022,Silver Bear Best Director,Claire Denis,Both Sides of the Blade,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
2022,Berlin IFF 2022,Silver Bear Best Screenplay,,Rabiye Kurnaz vs. George W. Bush,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Screenplay
