year,ceremony,category,nominee,film,country,winner,source_url
1964,Berlin IFF 1964,Silver Bear Best Actress,Sachiko Hidari,The Insect Woman,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1964,Berlin IFF 1964,Silver Bear Best Actress,She and He,She and He,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1964,Berlin IFF 1964,Silver Bear Best Director,Satyajit Ray,Mahanagar,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1965,Berlin IFF 1965,Golden Bear,,Alphaville,,1,https://en.wikipedia.org/wiki/Golden_Bear
1965,Berlin IFF 1965,Silver Bear Best Actor,Lee Marvin,Cat Ballou,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1965,Berlin IFF 1965,Silver Bear Best Actress,Madhur Jaffrey,Shakespeare Wallah,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1965,Berlin IFF 1965,Silver Bear Best Director,Satyajit Ray,Charulata,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1965,Berlin IFF 1965,Silver Bear Grand Jury Prize,,Roman Polanski,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1965,Berlin IFF 1965,Silver Bear Grand Jury Prize,France,Le Bonheur,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1966,Berlin IFF 1966,Golden Bear,,Cul-de-Sac,,1,https://en.wikipedia.org/wiki/Golden_Bear
1966,Berlin IFF 1966,Silver Bear Best Actor,Jean-Pierre Léaud,Masculin Féminin,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1966,Berlin IFF 1966,Silver Bear Best Actress,Lola Albright,Lord Love a Duck,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1966,Berlin IFF 1966,Silver Bear Best Director,Carlos Saura,The Hunt,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1966,Berlin IFF 1966,Silver Bear Grand Jury Prize,West Germany,Schonzeit Für Füchse,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1966,Berlin IFF 1966,Silver Bear Grand Jury Prize,Yngve Gamlin,The Chasers,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1967,Berlin IFF 1967,Golden Bear,,Le Départ,,1,https://en.wikipedia.org/wiki/Golden_Bear
