year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2002,2003,9,"Best Director",DIRECTING,"Ashutosh Gowariker",Lagaan,False
2003,2004,10,"Best Director",DIRECTING,"Sanjay Leela Bhansali",Devdas,False
2004,2005,11,"Best Director",DIRECTING,"Rakesh Roshan","Koi... Mil Gaya",False
2005,2006,12,"Best Director",DIRECTING,"Kunal Kohli","Hum Tum",False
2006,2007,13,"Best Director",DIRECTING,"Sanjay Leela Bhansali",Black,False
2007,2008,14,"Best Director",DIRECTING,"Rakeysh Omprakash Mehra","Rang De Basanti",False
2008,2009,15,"Best Director",DIRECTING,"Aamir Khan and Shimit Amin","Taare Zameen Par and Chak De India",False
2009,2010,16,"Best Director",DIRECTING,"Ashutosh Gowariker and Neeraj Pandey","Jodhaa Akbar and A Wednesday",False
2010,2011,17,"Best Director",DIRECTING,"Rajkumar Hirani","3 Idiots",False
2011,2012,18,"Best Director",DIRECTING,"Vikramaditya Motwane",Udaan,False
2012,2013,19,"Best Director",DIRECTING,"Milan Luthria","The Dirty Picture",False
2013,2014,20,"Best Director",DIRECTING,"Anurag Basu",Barfi!,False
2014,2015,21,"Best Director",DIRECTING,"Shoojit Sircar","Madras Cafe",False
2015,2016,22,"Best Director",DIRECTING,"Vikas Bahl",Queen,False
2016,2017,23,"Best Director",DIRECTING,"Tinu Suresh Desai",Rustom,False
2016,2017,23,"Best Director",DIRECTING,"Kabir Khan","Bajrangi Bhaijaan",False
2017,2018,24,"Best Director",DIRECTING,"Ram Madhvani",Neerja,False
2018,2019,25,"Best Director",DIRECTING,"Nitesh Tiwari",Dangal,False
2019,2020,26,"Best Director",DIRECTING,"Sriram Raghavan",Andhadhun,False
2020,2021,27,"Best Director",DIRECTING,"Zoya Akhtar","Gully Boy",False
2026,2027,33,"Best Director",DIRECTING,"Aditya Dhar",Dhurandhar,False
1995,1996,2,"Best Actor","ACTOR IN A LEADING ROLE","Nana Patekar",Krantiveer,False
1996,1997,3,"Best Actor","ACTOR IN A LEADING ROLE","Shah Rukh Khan","Dilwale Dulhania Le Jayenge",False
1997,1998,4,"Best Actor","ACTOR IN A LEADING ROLE","Aamir Khan","Raja Hindustani",False
1998,1999,5,"Best Actor","ACTOR IN A LEADING ROLE","Anil Kapoor",Virasat,False
1999,2000,6,"Best Actor","ACTOR IN A LEADING ROLE","Ajay Devgan",Zakhm,False
2000,2001,7,"Best Actor","ACTOR IN A LEADING ROLE","Sanjay Dutt",Vaastav,False
2001,2002,8,"Best Actor","ACTOR IN A LEADING ROLE","Hrithik Roshan","Kaho Naa... Pyaar Hai",False
2002,2003,9,"Best Actor","ACTOR IN A LEADING ROLE","Sunny Deol","Gadar: Ek Prem Katha",False
2003,2004,10,"Best Actor","ACTOR IN A LEADING ROLE","• Ajay Devgan • Shah Rukh Khan","• Company • Devdas",False
2004,2005,11,"Best Actor","ACTOR IN A LEADING ROLE","Hrithik Roshan","Koi... Mil Gaya",False
2005,2006,12,"Best Actor","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Veer-Zaara,False
2006,2007,13,"Best Actor","ACTOR IN A LEADING ROLE","Amitabh Bachchan",Black,False
2007,2008,14,"Best Actor","ACTOR IN A LEADING ROLE","Hrithik Roshan",Krrish,False
