year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2003,2004,50,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Sharmila Tagore,Aparna,False
2004,2005,51,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Sheela,Margaret D'Costa,False
2005,2006,52,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Urvashi,K. P. Vanaja,False
2006,2007,53,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Konkona Sen Sharma,Indu Tyagi,False
2007,2008,54,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Shefali Shah,Vandana,False
2008,2009,55,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Kangana Ranaut,Shonali Gujral,False
2009,2010,56,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Arundathi Nag,"Bhumi ""Bum"" Bhardwaj",False
2010,2011,57,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Sukumari,Ammini Amma,False
2011,2012,58,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Leishangthem Tonthoingambi Devi,Yaipabhee,False
2012,2013,59,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Dolly Ahluwalia,Dolly Arora,False
2012,2013,59,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Kalpana,Razia Beevi,False
2013,2014,60,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Amruta Subhash,Channamma,False
2013,2014,60,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Aida El-Kashef,Aliya Kamal,False
2014,2015,61,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Baljinder Kaur,Unknown,False
2015,2016,62,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Tanvi Azmi,Radhabai,False
2016,2017,63,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Zaira Wasim,Young Geeta Phogat,False
2017,2018,64,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Divya Dutta,Ramadeep Braitch,False
2018,2019,65,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Surekha Sikri,"Durga Devi Kaushik (""Dadi"")",False
2019,2020,66,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Pallavi Joshi,Ayisha Ali Shah,False
2020,2021,67,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Lakshmi Priyaa Chandramouli,Sivaranjini,False
2021,2022,68,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Pallavi Joshi,Radhika Menon,False
2022,2023,69,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Neena Gupta,Shabina Siddiqui,False
2023,2024,70,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Janki Bodiwala,Aarya,False
2023,2024,70,Best Supporting Actress,ACTRESS IN A SUPPORTING ROLE,Urvashi,Leelamma,False
