year,ceremony,category,nominee,film,country,winner,source_url
1953,Venice Film Festival 1953,Silver Lion,,Little Fugitive,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Silver Lion,,John Huston,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Silver Lion,,Садко,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Silver Lion,,Marcel Carné,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Silver Lion,,雨月物語,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Silver Lion,,Federico Fellini,,1,https://en.wikipedia.org/wiki/Silver_Lion
1953,Venice Film Festival 1953,Volpi Cup for Best Actor,Henri Vilbert,Good Lord Without Confession,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1953,Venice Film Festival 1953,Volpi Cup for Best Actress,Lilli Palmer,The Four Poster,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1954,Venice Film Festival 1954,Golden Lion,Renato Castellani,Romeo and Juliet,,1,https://en.wikipedia.org/wiki/Golden_Lion
1954,Venice Film Festival 1954,Silver Lion,,On the Waterfront,,1,https://en.wikipedia.org/wiki/Silver_Lion
1954,Venice Film Festival 1954,Silver Lion,,山椒大夫,,1,https://en.wikipedia.org/wiki/Silver_Lion
1954,Venice Film Festival 1954,Silver Lion,,七人の侍,,1,https://en.wikipedia.org/wiki/Silver_Lion
1954,Venice Film Festival 1954,Silver Lion,,Federico Fellini,,1,https://en.wikipedia.org/wiki/Silver_Lion
1954,Venice Film Festival 1954,Volpi Cup for Best Actor,Honour Among Thieves,Touchez pas au grisbi,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1954,Venice Film Festival 1954,Volpi Cup for Best Actor,Jean Gabin,The Air of Paris,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1955,Venice Film Festival 1955,Golden Lion,Carl Theodor Dreyer,Ordet,,1,https://en.wikipedia.org/wiki/Golden_Lion
1955,Venice Film Festival 1955,Silver Lion,,Le Amiche,,1,https://en.wikipedia.org/wiki/Silver_Lion
1955,Venice Film Festival 1955,Silver Lion,,Robert Aldrich,,1,https://en.wikipedia.org/wiki/Silver_Lion
1955,Venice Film Festival 1955,Silver Lion,,Ciske de Rat,,1,https://en.wikipedia.org/wiki/Silver_Lion
1955,Venice Film Festival 1955,Silver Lion,,Попрыгунья,,1,https://en.wikipedia.org/wiki/Silver_Lion
1955,Venice Film Festival 1955,Volpi Cup for Best Actor,Curd Jürgens,The Heroes Are Tired,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1955,Venice Film Festival 1955,Volpi Cup for Best Actor,Freddie Page,The Deep Blue Sea,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1956,Venice Film Festival 1956,Volpi Cup for Best Actor,Bourvil,La Traversée de Paris,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1956,Venice Film Festival 1956,Volpi Cup for Best Actor,Burt Lancaster,Trapeze,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1956,Venice Film Festival 1956,Volpi Cup for Best Actress,Maria Schell,Gervaise,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1957,Venice Film Festival 1957,Golden Lion,অপরাজিত,Aparajito,,1,https://en.wikipedia.org/wiki/Golden_Lion
1957,Venice Film Festival 1957,Silver Lion,,White Nights,,1,https://en.wikipedia.org/wiki/Silver_Lion
1957,Venice Film Festival 1957,Volpi Cup for Best Actor,Anthony Franciosa,A Hatful of Rain,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1957,Venice Film Festival 1957,Volpi Cup for Best Actress,Dzidra Ritenberga,Malva,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1958,Venice Film Festival 1958,Golden Lion,無法松の一生,Rickshaw Man,,1,https://en.wikipedia.org/wiki/Golden_Lion
1958,Venice Film Festival 1958,Volpi Cup for Best Actor,Alec Guinness,The Horse's Mouth,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1958,Venice Film Festival 1958,Volpi Cup for Best Actress,Anna Magnani,Wild Is the Wind,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1958,Venice Film Festival 1958,Volpi Cup for Best Actress,Sophia Loren,The Black Orchid,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1959,Venice Film Festival 1959,Golden Lion,Il generale della Rovere,General Della Rovere,,1,https://en.wikipedia.org/wiki/Golden_Lion
1959,Venice Film Festival 1959,Golden Lion,Mario Monicelli,La grande guerra,,1,https://en.wikipedia.org/wiki/Golden_Lion
1959,Venice Film Festival 1959,Volpi Cup for Best Actor,James Stewart,Anatomy of a Murder,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1959,Venice Film Festival 1959,Volpi Cup for Best Actor,Jean Gabin,Archimède le clochard,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1959,Venice Film Festival 1959,Volpi Cup for Best Actress,Madeleine Robinson,Web of Passion,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1959,Venice Film Festival 1959,Volpi Cup for Best Actress,Shirley MacLaine,Ask Any Girl,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1960,Venice Film Festival 1960,Golden Lion,,Tomorrow Is My Turn,,1,https://en.wikipedia.org/wiki/Golden_Lion
1960,Venice Film Festival 1960,Volpi Cup for Best Actor,Fredric March,Inherit The Wind,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1960,Venice Film Festival 1960,Volpi Cup for Best Actor,John Mills,Tunes of Glory,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1960,Venice Film Festival 1960,Volpi Cup for Best Actress,Shirley MacLaine,The Apartment,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1961,Venice Film Festival 1961,Golden Lion,,Last Year at Marienbad,,1,https://en.wikipedia.org/wiki/Golden_Lion
