year,ceremony,category,nominee,film,country,winner,source_url
1951,BAFTA 1951,Best British Film,,Paul Rotha,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,"Maurice Cloche, Ralph Smart",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Pat Jackson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best Film,,La Ronde,France,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Vincente Minnelli,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Anthony Asquith,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,William Wyler,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Luciano Emmer,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Henry Hathaway,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Alf Sjöberg,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Charles Crichton,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,John Boulting,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Donald Swanson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Alexander Mackendrick,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Paul Rotha,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,John Huston,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,"Maurice Cloche, Ralph Smart",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Cyril Endfield,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Lewis Milestone,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Pat Jackson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Jacques Becker,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1952,BAFTA 1952,Best Actor in a Leading Role,Best British Actor,Best British Actor,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,The Sound Barrier,John Ridgefield,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Viva Zapata!,Emiliano Zapata,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Carrie,George Hurstwood,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Death of a Salesman,Willy Loman,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Folly to Be Wise,Captain William Paris,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,God Needs Men,Thomas Gourvennec,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Mandy,Dick Searle,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,Miracle in Milan,Totò,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,The African Queen,Charlie Allnut,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,The Pickwick Papers,Samuel Pickwick,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actor in a Leading Role,The Sound Barrier,Tony Garthwaite,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,A Streetcar Named Desire,Blanche DuBois,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,Best British Actress,Best British Actress,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,Golden Helmet,Marie,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,I Believe in You,Matty Matheson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,Mandy,Christine Garland,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,Olivia,Julie,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,Pat and Mike,"Patricia ""Pat"" Pemberton",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,The Marrying Kind,Florence Keefer,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,The Sound Barrier,Susan Garthwaite,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best Actress in a Leading Role,The Strange Ones,Elisabeth,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actress_in_a_Leading_Role
1952,BAFTA 1952,Best British Film,,The Sound Barrier,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best British Film,,George More O'Ferrall,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best British Film,,Zoltán Korda,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best British Film,,"Alexander Mackendrick, Fred F. Sears",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best British Film,,Carol Reed,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best British Film,,Jean Renoir,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1952,BAFTA 1952,Best Film,,The Sound Barrier,United Kingdom,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1952,BAFTA 1952,Best Film,,John Huston,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
