award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Vanitha Film Awards,2016–Present,,Unspecified (verify category from source),Cera Group,,,Winner,Malayalam,https://en.wikipedia.org/wiki/Vanitha_Film_Awards
Vanitha Film Awards,2010–2015,,Unspecified (verify category from source),TTK Prestige,,,Winner,Malayalam,https://en.wikipedia.org/wiki/Vanitha_Film_Awards
Vanitha Film Awards,2007–2009,,Unspecified (verify category from source),Nippon Paint,,,Winner,Malayalam,https://en.wikipedia.org/wiki/Vanitha_Film_Awards
Vanitha Film Awards,2000–2010,,Unspecified (verify category from source),Surya TV,Broadcast Partner,,Winner,Malayalam,https://en.wikipedia.org/wiki/Vanitha_Film_Awards
Vanitha Film Awards,2012 – present,,Unspecified (verify category from source),Mazhavil Manorama,Moved to Sister Channel,,Winner,Malayalam,https://en.wikipedia.org/wiki/Vanitha_Film_Awards
