year,film,person,is_winner,raw_text,source_url
,Sham Kaushal,,False,4 | Sham Kaushal,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Action
,Parvez Shaikh,,False,2 | Parvez Shaikh,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Action
