year,film,person,is_winner,raw_text,source_url
,Red Chillies VFX,,False,6 | Red Chillies VFX,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Special_Effects
,Prime Focus Group,,False,4 | Prime Focus Group,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Special_Effects
