year,film,person,is_winner,raw_text,source_url
2010,David Fincher,The Social Network °,False,2010 | David Fincher | The Social Network °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2011,Michel Hazanavicius,The Artist ≈,False,2011 | Michel Hazanavicius | The Artist ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2012,Ang Lee,Life of Pi ≈,False,2012 | Ang Lee | Life of Pi ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2013,Alfonso Cuarón,Gravity ≈,False,2013 | Alfonso Cuarón | Gravity ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2014,Richard Linklater,Boyhood °,False,2014 | Richard Linklater | Boyhood °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2015,George Miller,Mad Max: Fury Road °,False,2015 | George Miller | Mad Max: Fury Road °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2016,László Nemes,Son of Saul,False,2016 | László Nemes | Son of Saul [ 1 ],https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2017,Sean Baker,The Florida Project,False,2017 | Sean Baker | The Florida Project [ 2 ],https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2018,Alfonso Cuarón,Roma ≈,False,2018 | Alfonso Cuarón | Roma ≈ [ 3 ],https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2019,Bong Joon-ho,Parasite ≈,False,2019 | Bong Joon-ho | Parasite ≈ [ 4 ],https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2020,Steve McQueen,Small Axe,False,2020 | Steve McQueen | Small Axe [ 5 ],https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2021,Jane Campion,The Power of the Dog ≈,False,2021 | Jane Campion | The Power of the Dog ≈,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2022,Todd Field,Tár °,False,2022 | Todd Field | Tár °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2023,Jonathan Glazer,The Zone of Interest °,False,2023 | Jonathan Glazer | The Zone of Interest °,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
2024,RaMell Ross,Nickel Boys,False,2024 | RaMell Ross | Nickel Boys,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
