year,film,person,is_winner,raw_text,source_url
,Bimal Roy Productions,,True,Do Bigha Zamin | Bimal Roy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,True,Boot Polish | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmistan Productions,,True,Jagriti | Filmistan Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Pakshiraja Studios,,False,Azaad | Pakshiraja Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Hiten Chaudhary Productions,,False,Biraj Bahu | Hiten Chaudhary Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajkamal Kala Mandir,,True,Jhanak Jhanak Payal Baaje | Rajkamal Kala Mandir,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mehboob Productions,,True,Mother India | Mehboob Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bimal Roy Productions,,True,Madhumati | Bimal Roy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Sadhna | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Anupam Chitra,,False,Talaaq | Anupam Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prasad Studios,,True,Chhoti Bahen | Prasad Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,L. B. Films,,False,Anari | L. B. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bimal Roy Productions,,False,Sujata | Bimal Roy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sterling Investments,,True,Mughal-e-Azam | Sterling Investments,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bani Rupa Chitra,,False,Masoom | Bani Rupa Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bimal Roy Productions,,False,Parakh | Bimal Roy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,True,Jis Desh Men Ganga Behti Hai | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Citizen Films,,False,Gunga Jumna | Citizen Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Kanoon | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Guru Dutt Movies Pvt. Ltd.,,True,Sahib Bibi Aur Ghulam | Guru Dutt Movies Pvt. Ltd.,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Geetanjali Pictures,,False,Bees Saal Baad | Geetanjali Pictures,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prabhuram Pictures,,False,Rakhi | Prabhuram Pictures,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bimal Roy Productions,,True,Bandini | Bimal Roy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Chitralaya,,False,Dil Ek Mandir | Chitralaya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Gumrah | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions,,True,Dosti | Rajshri Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,False,Sangam | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Naya Sansar,,False,Shehar Aur Sapna | Naya Sansar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Shri Prakash Pictures,,True,Himalaya Ki God Mein | Shri Prakash Pictures,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Himalaya Films,,False,Haqeeqat | Himalaya Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Waqt | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Navketan Films,,True,Guide | Navketan Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,L. B. Films,,False,Anupama | L. B. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Charu Chitra,,False,Mamta | Charu Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
