year,film,person,is_winner,raw_text,source_url
,Farah Khan,,False,6 | Farah Khan,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Choreography
,Bosco–Caesar,,False,3 | Bosco–Caesar,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Choreography
,"Saroj Khan , Vaibhavi Merchant , Ganesh Acharya , Vijay Ganguly , Remo D'Souza",,False,"2 | Saroj Khan , Vaibhavi Merchant , Ganesh Acharya , Vijay Ganguly , Remo D'Souza",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Choreography
