year,film,person,is_winner,raw_text,source_url
,Manish Malhotra,,False,5 | Manish Malhotra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Costume_Design
,"Neeta Lulla , Dolly Ahluwalia",,False,"3 | Neeta Lulla , Dolly Ahluwalia",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Costume_Design
,"Karan Johar , Anaita Shroff Adajania",,False,"2 | Karan Johar , Anaita Shroff Adajania",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Costume_Design
