year,film,person,is_winner,raw_text,source_url
,Rajkumar Hirani & Abhijat Joshi,,False,3 | Rajkumar Hirani & Abhijat Joshi,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Dialogue
,"Vishal Bhardwaj , Juhi Chaturvedi",,False,"2 | Vishal Bhardwaj , Juhi Chaturvedi",https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Dialogue
