year,film,person,is_winner,raw_text,source_url
,Vidhu Vinod Chopra,,False,3 | Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Screenplay
,Rajkumar Hirani,,False,2 | Rajkumar Hirani,https://en.wikipedia.org/wiki/IIFA_Award_for_Best_Screenplay
