year,film,person,is_winner,raw_text,source_url
,Recipient,Song,False,Year | Recipient(s) | Song(s) | Film(s) | Language(s) | Refs.,https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
1999,M. G. Sreekumar,Chanthu Pottum,False,"1999 (47th) | M. G. Sreekumar | ""Chanthu Pottum"" | Vasanthiyum Lakshmiyum Pinne Njaanum | Malayalam | [ 33 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2000,Shankar Mahadevan,Yenna Solla Pogirai,False,"2000 (48th) | Shankar Mahadevan | ""Yenna Solla Pogirai"" | Kandukondain Kandukondain | Tamil | [ 34 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2001,Udit Narayan,"• ""Mitwa"" • ""Jaane Kyon",False,"2001 (49th) | Udit Narayan | • ""Mitwa"" • ""Jaane Kyon"" | • Lagaan • Dil Chahta Hai | Hindi | [ 35 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2002,Udit Narayan,Chhote Chhote Sapne,False,"2002 (50th) | Udit Narayan | ""Chhote Chhote Sapne"" | Zindagi Khoobsoorat Hai | Hindi | [ 36 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2003,Sonu Nigam,Kal Ho Naa Ho,False,"2003 (51st) | Sonu Nigam | "" Kal Ho Naa Ho "" | Kal Ho Naa Ho | Hindi | [ 37 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2004,Udit Narayan,Yeh Taara Woh Taara,False,"2004 (52nd) | Udit Narayan | ""Yeh Taara Woh Taara"" | Swades | Hindi | [ 38 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2005,Naresh Iyer,Roobaroo,False,"2005 (53rd) | Naresh Iyer | ""Roobaroo"" | Rang De Basanti | Hindi | [ 39 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2006,Gurdas Maan,Couplets of Heer,False,"2006 (54th) | Gurdas Maan | ""Couplets of Heer"" | Waris Shah: Ishq Daa Waaris | Punjabi | [ 40 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2007,Shankar Mahadevan,Maa,False,"2007 (55th) | Shankar Mahadevan | ""Maa"" [ 41 ] | Taare Zameen Par | Hindi | [ 42 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2008,Hariharan,Jeev Dangla Gungla Rangla Asa,False,"2008 (56th) | Hariharan | ""Jeev Dangla Gungla Rangla Asa"" | Jogwa | Marathi | [ 43 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2009,Rupam Islam,Ei To Ami,False,"2009 (57th) | Rupam Islam | ""Ei To Ami"" [ 44 ] | Mahanagar@Kolkata | Bengali | [ 45 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2010,Suresh Wadkar,Hey Bhaskara Kshitijavari Ya,False,"2010 (58th) | Suresh Wadkar | ""Hey Bhaskara Kshitijavari Ya"" | Mee Sindhutai Sapkal | Marathi | [ 46 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2011,Anand Bhate,Chinmaya Sakal Hridaya,False,"2011 (59th) | Anand Bhate | ""Chinmaya Sakal Hridaya"" | Balgandharva | Marathi | [ 47 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2012,Shankar Mahadevan,Bolo Na,False,"2012 (60th) | Shankar Mahadevan | ""Bolo Na"" | Chittagong | Hindi | [ 48 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2013,Rupankar Bagchi,E Tumi Kemon Tumi,False,"2013 (61st) | Rupankar Bagchi | "" E Tumi Kemon Tumi "" | Jaatishwar | Bengali | [ 49 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2014,Sukhwinder Singh,Bismil,False,"2014 (62nd) | Sukhwinder Singh | ""Bismil"" | Haider | Hindi | [ 50 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2015,Mahesh Kale,Aruni Kirani,False,"2015 (63rd) | Mahesh Kale | ""Aruni Kirani"" | Katyar Kaljat Ghusali | Marathi | [ 51 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2016,Sundarayyar,Jasmine-U,False,"2016 (64th) | Sundarayyar | ""Jasmine-U"" | Joker | Tamil | [ 52 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2017,K. J. Yesudas,Poy Maranja Kalam,False,"2017 (65th) | K. J. Yesudas | ""Poy Maranja Kalam"" | Viswasapoorvam Mansoor | Malayalam | ",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2018,Arijit Singh,Binte Dil,False,"2018 (66th) | Arijit Singh | ""Binte Dil"" | Padmaavat | Hindi | [ 53 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2019,B Praak,Teri Mitti,False,"2019 (67th) | B Praak | "" Teri Mitti "" | Kesari | Hindi | ",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2020,Rahul Deshpande,Kaivalya Gaan,False,"2020 (68th) | Rahul Deshpande | ""Kaivalya Gaan"" | Me Vasantrao | Marathi | [ 54 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2021,Kaala Bhairava,Komuram Bheemudo,False,"2021 (69th) | Kaala Bhairava | ""Komuram Bheemudo"" | RRR | Telugu | ",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2022,Arijit Singh,Kesariya,False,"2022 (70th) | Arijit Singh | "" Kesariya "" | Brahmāstra: Part One – Shiva | Hindi | [ 55 ]",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
2023,P V N S Rohit,Premisthunna,False,"2023 (71st) | P V N S Rohit | ""Premisthunna"" | Baby | Telugu | ",https://en.wikipedia.org/wiki/National_Film_Award_for_Best_Male_Playback_Singer
