year,film,person,is_winner,raw_text,source_url
,"Salim–Javed , Basu Chatterjee , Rajkumar Hirani , Vidhu Vinod Chopra",,False,"3 | Salim–Javed , Basu Chatterjee , Rajkumar Hirani , Vidhu Vinod Chopra",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Screenplay
,"Vijay Tendulkar , Mani Ratnam , Abhijat Joshi",,False,"2 | Vijay Tendulkar , Mani Ratnam , Abhijat Joshi",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Screenplay
