year,film,person,is_winner,raw_text,source_url
2016,Pelli Choopulu,Tharun Bhascker Dhaassyam,False,"2016 | Pelli Choopulu | Tharun Bhascker Dhaassyam | Raj Kandukuri Yash Rangineni | Vivek Sagar | Vijay Deverakonda , Ritu Varma",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2015,Nenu Sailaja,Kishore Tirumala,False,"2015 | Nenu Sailaja | Kishore Tirumala | Sravanthi Ravi Kishore | Devi Sri Prasad | Ram Pothineni , Keerthy Suresh",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2014,Hitudu,Viplove,False,"2014 | Hitudu | Viplove | K. S. V. Narasimhulu | Koti | Jagapati Babu , Meera Nandan",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2013,Uyyala Jampala,Virinchi Varma,False,"2013 | Uyyala Jampala | Virinchi Varma | Daggubati Suresh Babu | Sunny M. R. | Raj Tarun , Avika Gor",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2012,Mithunam,Tanikella Bharani,False,"2012 | Mithunam | Tanikella Bharani | Anand Muyida Rao | Swaraveenapani | S. P. Balasubrahmanyam , Lakshmi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2011,Virodhi,G. Neelakanta Reddy,False,"2011 | Virodhi | G. Neelakanta Reddy | Anil Meka | R. P. Patnaik | Meka Srikanth , Kamalinee Mukherjee , Ajay",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2010,Prasthanam,Deva Katta,False,"2010 | Prasthanam | Deva Katta | Ravi Vallabhaneni | Mahesh Shankar | Sharvanand , Ruby Parihar , Saikumar",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2009,Kalavaramaye Madilo,Sathish Kasetty,False,"2009 | Kalavaramaye Madilo | Sathish Kasetty | Mohan Vadlapatla | Sharath | Kamal Kamaraju , Swati Reddy , Vikram Gokhale",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2008,Parugu,Bhaskar,False,"2008 | Parugu | Bhaskar | Dil Raju | Mani Sharma | Allu Arjun , Sheela, Prakash Raj , Jayasudha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2007,Lakshyam,Srivas,False,"2007 | Lakshyam | Srivas | Nallamalupu Srinivas | Mani Sharma | Gopichand , Anushka",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2006,Ganga,Vemuganti Lingayya,False,"2006 | Ganga | Vemuganti Lingayya [ 4 ] | Sekhar Yalamanchi | Koti | Venu Gopal, Priyanka",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2005,Gowtam SSC,P. A. Arun Prasad,False,"2005 | Gowtam SSC | P. A. Arun Prasad | Y. Sonia Reddy | Anoop Rubens | Navdeep , Sindhu Tolani",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2004,Grahanam,Mohan Krishna Indraganti,False,"2004 | Grahanam | Mohan Krishna Indraganti | Subba Rao, Anji Reddy, P. Venkateswara Rao | K. Vijay | Tanikella Bharani , Jayalalitha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2003,Amma Nanna O Tamila Ammayi,Puri Jagannadh,False,"2003 | Amma Nanna O Tamila Ammayi | Puri Jagannadh | Puri Jagannadh | Chakri | Ravi Teja , Asin Thottumkal , Jayasudha , Prakash Raj",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2002,Santhosham,Dasaradh,False,"2002 | Santhosham | Dasaradh | K. L. Narayana | R. P. Patnaik | Nagarjuna , Gracy Singh , Shriya Saran , K. Viswanath",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2001,Atu America Itu India,Gummaluri Sastry,False,2001 | Atu America Itu India | Gummaluri Sastry | Santi Kumar Chilumula | Madhavapeddi Suresh | Vijay Nainan,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2000,Manoharam,Gunasekhar,False,"2000 | Manoharam | Gunasekhar | Mullapudi Brahmanandam Sunkara Madhu Murali | Manisharma | Jagapathi Babu , Laya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1999,Prema Kadha,Ram Gopal Varma,False,"1999 | Prema Kadha | Ram Gopal Varma | Nagarjuna Akkineni | Sandeep Chowta | Sumanth , Antara Mali",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1998,Ganesh,Thirupathi Swamy,False,"1998 | Ganesh | Thirupathi Swamy | D. Suresh Babu | Mani Sharma | Venkatesh , Rambha , Madhoo",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1997,Thodu,Akkineni Kutumba Rao,False,"1997 | Thodu | Akkineni Kutumba Rao | N.F.D.C. Limited | Mangalampalli Balamuralikrishna | Sarath Babu , Geetha , Jhansi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1996,Srikaram,C. Uma Maheswara Rao,False,"1996 | Srikaram | C. Uma Maheswara Rao | G. Partha Sarathi | Ilayaraja | Jagapathi Babu , Heera Rajagopal",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1995,Ammai Kapuram,Muthyala Subbaiah,False,"1995 | Ammai Kapuram | Muthyala Subbaiah | M. Nageswara Rao | Vandemataram Srinivas | Ali , Maheswari",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1994,Bhairava Dweepam,Singeetam Srinivasa Rao,False,"1994 | Bhairava Dweepam | Singeetam Srinivasa Rao | B. Venkatarami Reddy | Madhavapeddi Suresh | Balakrishna , Roja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1993,Mathru Devo Bhava,K. Ajay Kumar,False,"1993 | Mathru Devo Bhava | K. Ajay Kumar | K. S. Rama Rao | M.M. Keeravani | Madhavi , Nassar , Tanikella Bharani",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1992,Aapathbandhavudu,K. Viswanath,False,"1992 | Aapathbandhavudu | K. Viswanath | Edida Nageswara Rao | M. M. Keeravani | Chiranjeevi , Meenakshi Seshadri",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1991,Aswani,B. C. Mouli,False,"1991 | Aswani | B. C. Mouli | Ramoji Rao | M. M. Keeravani | Ashwini Nachappa , Bhanuchander",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1990,Hrudayanjali,A.Raghurami Reddy,False,"1990 | Hrudayanjali | A.Raghurami Reddy | P. Ramanath | L. Vaidyanathan | Sanjay Mitra , Girija Shettar",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1989,Suthradharulu,K. Viswanath,False,"1989 | Suthradharulu | K. Viswanath | Karunakar Sudhakar | K. V. Mahadevan | ANR , Bhanuchander , Ramya Krishna , Sujatha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1988,Kallu,M. V. Raghu,False,"1988 | Kallu | M. V. Raghu | D. Vijay Kumar A. L. Ananda Rao | SP Balasubramanyam | Sivaji Raja , Rajeshwari",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1987,Prajaswamyam,Paruchuri Brothers,False,"1987 | Prajaswamyam | Paruchuri Brothers | Pokuri Baburao | - | Rajasekhar , Sharada",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1986,Aruna Kiranam,Muthyala Subbaiah,False,"1986 | Aruna Kiranam | Muthyala Subbaiah | Y. Anil Babu | Chakravarthy | Rajasekhar , Vijayashanti",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1985,Vandematharam,T. Krishna,False,"1985 | Vandematharam | T. Krishna | Y. Anil Babu | Chakravarthy | Rajasekhar , Vijayashanti , Nirmalamma , Suthi Velu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1984,Suvarna Sundari,Beeram Masthan Rao,False,"1984 | Suvarna Sundari | Beeram Masthan Rao | Atla Brahma Reddy | Ramesh Naidu | Chandra Mohan , Jayasri",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1983,Sagara Sangamam,K. Viswanath,False,"1983 | Sagara Sangamam | K. Viswanath | Edida Nageswara Rao | Ilayaraja | Kamal Haasan , Jayapradha , Sarath Babu , Sailaja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1982,Keerthi Kantha Kanaka,U. Visweswara Rao,False,"1982 | Keerthi Kantha Kanaka | U. Visweswara Rao | U. D. Murali Krishna | - | Nagendra, Mangala Gowri",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1981,Ooriki Ichina Maata,Balaiah M.,False,"1981 | Ooriki Ichina Maata | Balaiah M. | Balaiah M. | M. S. Viswanathan | Chiranjeevi , Kanta Rao , Sudhakar , Madhavi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1980,Sangham Marali,S. M. Santhanam,False,"1980 | Sangham Marali | S. M. Santhanam | P. Apparao | - | Hari Prasad, Jyothi Chitra",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1979,Punadi Rallu,G. Raj Kumar,False,"1979 | Punadi Rallu | G. Raj Kumar | Faazal Huck | Jakkula Premji | Gokina Rama Rao , Chiranjeevi , Narasimha Raju",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1978,Karunamayudu,A. Bhimsingh,False,"1978 | Karunamayudu | A. Bhimsingh | Vijayachander | Joseph Fernandez B. Gopalam | Vijayachander , Rajasulochana",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1977,Oka Oori Katha,Mrinal Sen,False,"1977 | Oka Oori Katha | Mrinal Sen | Allareddy Parandhama Reddy | Vijay Raghav Rao | A. R. Krishna, Narayana Rao , M. V. Vasudeva Rao , Mamatha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1976,Anthuleni Katha,K. Balachander,False,"1976 | Anthuleni Katha | K. Balachander | Ram Aranganal | M.S. Viswanathan | Jayapradha , Rajnikanth , Narayana Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1975,Swargam Narakam,Dasari Narayana Rao,False,"1975 | Swargam Narakam | Dasari Narayana Rao | M. K. Mavulayya P. S. Bhaskara Rao | Satyam | Annapoorna , Mohan Babu , Jayalakshmi , Easwara Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1974,Teerpu,U. Visweswara Rao,False,"1974 | Teerpu | U. Visweswara Rao | U. Viswesara Rao |  | NTR , M. Prabhakar Reddy",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1973,Samsaram Sagaram,Dasari Narayana Rao,False,"1973 | Samsaram Sagaram | Dasari Narayana Rao | K. Raghava | Ramesh Naidu | SVR , Kaikala Satyanarayana , Srividya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1972,Praja Nayakudu,V. Madhusudhana Rao,False,"1972 | Praja Nayakudu | V. Madhusudhana Rao | Ch. Raghava Rao | Satyam | Krishna , Janaki, Nagabhushanam , Jaggayya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1971,Amaayakuraalu,V. Madhusudhana Rao,False,"1971 | Amaayakuraalu | V. Madhusudhana Rao | D. Madhusudhana Rao | S. Rajeswara Rao | ANR , Kanchana , Sharada",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1970,Balaraju Katha,Bapu,False,"1970 | Balaraju Katha | Bapu | Nidamarthi Padmakshi | K. V. Mahadevan | Master Prabhakar , Nagabhushanam",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1969,Bangaru Panjaram,B. N. Reddy,False,"1969 | Bangaru Panjaram | B. N. Reddy | B. N. Reddy / Vaahini Productions | S. Rajeswara Rao | Sobhan Babu , Vanisree",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1968,Bangaru Gajulu,C. S. Rao,False,"1968 | Bangaru Gajulu | C. S. Rao | Tammareddy Krishna Murthy | T. Chalapathi Rao | ANR , Bharati, Vijaya Nirmala",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1967,Bhakta Prahlada,Ch. Narayana Murthy,False,"1967 | Bhakta Prahlada | Ch. Narayana Murthy | A. V. Meiyappan | S. Rajeswara Rao | Roja Ramani , S. V. Ranga Rao , Anjali Devi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1966,Asthiparulu,V. Madhusudhana Rao,False,"1966 | Asthiparulu | V. Madhusudhana Rao | V. B. Rajendra Prasad | K. V. Mahadevan | ANR , Jayalalithaa , Jaggayya , Nagayya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1965,Aatma Gowravam,K. Viswanath,False,"1965 | Aatma Gowravam | K. Viswanath | D. Madhusudhana Rao | S. Rajeswara Rao | ANR , Kanchana , Rajasree , Gummadi , Relangi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1964,Gudi Gantalu,V. Madhusudhana Rao,False,"1964 | Gudi Gantalu | V. Madhusudhana Rao | Nehatha Doondi | Ghantasala | NTR , Krishna Kumari",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
