year,film,person,is_winner,raw_text,source_url
2016,Pelli Choopulu,Tharun Bhascker Dhaassyam,False,"2016 | Pelli Choopulu | Tharun Bhascker Dhaassyam | Raj Kandukuri Yash Rangineni | Vivek Sagar | Vijay Deverakonda , Ritu Varma",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1995,Sogasu Chooda Tharamaa,Gunasekhar,False,"1995 | Sogasu Chooda Tharamaa | Gunasekhar | Ram Gopal | Ramani Prasad [ 3 ] | Naresh , Indraja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1994,Bangaru Kutumbam,Dasari Narayana Rao,False,"1994 | Bangaru Kutumbam | Dasari Narayana Rao | Kaikala Nageswara Rao | Raj–Koti | ANR , Jayasudha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1993,Mr. Pellam,Bapu,False,"1993 | Mr. Pellam | Bapu | Gavara Partha Sarathi | M. M. Keeravani | Rajendraprasad , Aamani , A.V.S",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1992,No Award,-,False,1992 | No Award | - | - | - | -,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1991,Yagnam,Gutta Ramineedu,False,1991 | Yagnam | Gutta Ramineedu | Gutta Ramineedu | - | P. L. Narayana,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1990,Erra Mandaram,Muthyala Subbaiah,False,"1990 | Erra Mandaram | Muthyala Subbaiah | P. Venkateswara rao | K. Chakravarthy | Rajendraprasad , Yamuna",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1989,Geethanjali,Mani Ratnam,False,"1989 | Geethanjali | Mani Ratnam | C. Praveen Kumar Reddy | Ilayaraja | Nagarjuna Akkineni , Girija",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1988,Swarna Kamalam,K. Viswanath,False,"1988 | Swarna Kamalam | K. Viswanath | Ch. V. Appa Rao | Ilayaraja | Venkatesh , Bhanupriya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1987,Sruthi Layalu,K. Viswanath,False,"1987 | Sruthi Layalu | K. Viswanath | Karunakar Sudhakar | K. V. Mahadevan | Rajasekhar , Sumalatha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1986,Swathi Muthyam,K. Viswanath,False,"1986 | Swathi Muthyam | K. Viswanath | Edida Nageswara Rao | Ilayaraja | Kamal Haasan , Radhika",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1985,Mayuri,Singeetham Srinivasa Rao,False,"1985 | Mayuri | Singeetham Srinivasa Rao | Ramoji Rao | S. P. Balasubrahmanyam | Sudha Chandran , Nirmalamma , P. L. Narayana",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1984,Swathi,Kranthi Kumar,False,"1984 | Swathi | Kranthi Kumar | Kranthi Kumar | K. Chakravarthy | Suhasini , Bhanuchander , Sharada",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1983,Ananda Bhairavi,Jandhyala,False,"1983 | Ananda Bhairavi | Jandhyala | Ashwini Karthika Chitra | Ramesh Naidu | Girish Karnad , Malavika Sarkar, Rajesh",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1982,Meghasandesam,Dasari Narayana Rao,False,"1982 | Meghasandesam | Dasari Narayana Rao | Dasari Narayana Rao | Ramesh Naidu | ANR , Jayapradha , Jayasudha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1981,Seethakoka Chiluka,Bharathiraja,False,"1981 | Seethakoka Chiluka | Bharathiraja | Edida Nageswara Rao | Ilayaraja | Karthik , Mucherla Aruna",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1980,Yuvatharam Kadilindi,Dhavala Satyam,False,"1980 | Yuvatharam Kadilindi | Dhavala Satyam | Madala Ranga Rao | - | Murali Mohan , Radhika, Narra Venkateswara Rao ,",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1979,Sankarabharanam,K. Viswanath,False,"1979 | Sankarabharanam | K. Viswanath | Edida Nageswara Rao | K. V. Mahadevan | J. V. Somayajulu , Manju Bhargavi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1978,Naalaga Endaro,Eeranki Sharma,False,"1978 | Naalaga Endaro | Eeranki Sharma | K. Prem Ranjith | M. S. Viswanathan | Hema Sundar , G. V. Narayana Rao , Roopa , Lakshmi Kanth",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1977,No Award,-,False,1977 | No Award | - | - | - | ,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1976,Oorummadi Brathukulu,B. S. Narayana,False,"1976 | Oorummadi Brathukulu | B. S. Narayana | J. Venkatarya G. K. Murthy | M. B. Sreenivasan | Rallapalli , Madhavi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1975,Jeevana Jyothi,K. Viswanath,False,"1975 | Jeevana Jyothi | K. Viswanath | D. V. S. Raju | K. V. Mahadevan | Sobhan Babu , Vanisree , Raja Babu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1974,Alluri Seetharama Raju,V. Ramachandra Rao,False,"1974 | Alluri Seetharama Raju | V. Ramachandra Rao | G. Hanumantha Rao | P. Adinarayana Rao | Krishna , Jaggayya , Vijaya Nirmala & Gummadi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1973,Sharada,K. Viswanath,False,"1973 | Sharada | K. Viswanath | Kranthi Kumar | K. V. Mahadevan | Sharada , Sobhan Babu & Jayanthi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1972,Kalam Marindi,K. Viswanath,False,"1972 | Kalam Marindi | K. Viswanath | Vasiraju Prakasam | S. Rajeswara Rao | Sobhan Babu , Sharada",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1971,Chelleli Kapuram,K. Viswanath,False,"1971 | Chelleli Kapuram | K. Viswanath | Mannava Venkatarao | K. V. Mahadevan | Sobhan Babu , Vanisree , Nagabhushanam",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1970,Kathanayika Molla,B. Padmanabham,False,"1970 | Kathanayika Molla | B. Padmanabham | B. Purushottam | S. P. Kodandapani | Vanisree , Harinath , B. Padmanabham",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1969,Kathanayakudu,K. Hemambaradara Rao,False,"1969 | Kathanayakudu | K. Hemambaradara Rao | K.Gopala Krishna | T. V. Raju | NTR , Jayalalithaa",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1968,Bandhavyalu,S. V. Ranga Rao,False,"1968 | Bandhavyalu | S. V. Ranga Rao | Badeti Satyanarayana Putta Venkatarao | S. Hanumantha Rao | S. V. Ranga Rao , Savitri , Dhulipala",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1967,Sudi Gundalu,"Adurthi Subba Rao , K. Viswanath",False,"1967 | Sudi Gundalu | Adurthi Subba Rao , K. Viswanath | D. Madhusudhana Rao | K. V. Mahadevan | ANR , Pushpavalli , Sukanya, Master Raja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1966,Rangula Ratnam,B. N. Reddy,False,"1966 | Rangula Ratnam | B. N. Reddy | B. N. Reddy | B. Gopalam , Saluri Rajeshwara Rao | Chandra Mohan , Ram Mohan , Anjali Devi , Vanisree",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1965,Antastulu,V. Madhusudhana Rao,False,"1965 | Antastulu | V. Madhusudhana Rao | V. B. Rajendra Prasad | K. V. Mahadevan | ANR , Bhanumathi , Krishna Kumari , Jaggayya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1964,Doctor Chakravarthy,Adurthi Subbarao,False,"1964 | Doctor Chakravarthy | Adurthi Subbarao | D. Madhusudhana Rao | S. Rajeswara Rao | ANR , Sowcar Janaki , Savitri , Jaggayya , Gummadi & Suryakantham",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2016,Arddhanaari,P. Bhanushanker Chowdary,False,"2016 | Arddhanaari | P. Bhanushanker Chowdary | M. Ravi Kumar | Ravi Varma | Arjun Yajath, Mouryaani",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2015,Yevade Subramanyam,Nag Ashwin,False,"2015 | Yevade Subramanyam | Nag Ashwin | Priyanka Dutt , Swapna Dutt | Radhan , Ilaiyaraaja | Nani , Malavika Nair , Vijay Deverakonda",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2014,Manam,Vikram K Kumar,False,"2014 | Manam | Vikram K Kumar | Nagarjuna Akinneni | Anup Rubens | Akkineni Nageswara Rao , Nagarjuna , Naga Chaitanya , Samantha Ruth Prabhu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2013,Naa Bangaaru Talli,Rajesh Touchriver,False,"2013 | Naa Bangaaru Talli | Rajesh Touchriver | Sunitha Krishnan | Sharreth | Siddique Anjali Patil , Rathna Shekar Reddy",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2012,Minugurulu,Ayodhya Kumar,False,"2012 | Minugurulu | Ayodhya Kumar | Ayodhya Kumar | Josyabhatla | Ashish Vidyarthi , Suhasini Maniratnam , Raghubir Yadav",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2011,Rajanna,Vijayendra Prasad,False,"2011 | Rajanna | Vijayendra Prasad | Nagarjuna Akinneni | M. M. Keeravani | Nagarjuna , Sneha , Shweta Menon",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2010,Ganga Putrulu,P. Sunilkumar Reddy,False,"2010 | Ganga Putrulu | P. Sunilkumar Reddy | Kishore | Praveen Immadi | Subbaraju , Gayathri Rao, Rao Ramesh",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2009,Baanam,Chaitanya Dantuluri,False,"2009 | Baanam | Chaitanya Dantuluri | Seshu Priyanka Chalasani | Mani Sharma | Nara Rohit , Vedhika , Sayaji Shinde , Rajeev Kanakala",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2008,Vinayakudu,Sai Kiran Adivi,False,"2008 | Vinayakudu | Sai Kiran Adivi | Saritha Patra | Sam Prasan | Krishnudu , Sonia Deepti",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2007,Happy Days,Sekhar Kammula,False,"2007 | Happy Days | Sekhar Kammula | Sekhar Kammula | Mickey J Meyer | Varun Sandesh , Tamannaah , Nikhil , Vamsi Krishna, Sonia , Rahul",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2006,Godavari,Sekhar Kammula,False,"2006 | Godavari | Sekhar Kammula | G. V. G. Raju | K. M. Radha Krishnan | Sumanth , Kamalinee Mukherjee",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2005,Anukokunda Oka Roju,Chandra Sekhar Yeleti,False,"2005 | Anukokunda Oka Roju | Chandra Sekhar Yeleti | Gangaraju Gunnam | M. M. Keeravani | Charmy Kaur , Shashank",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2004,Anand,Sekhar Kammula,False,"2004 | Anand | Sekhar Kammula | Sekhar Kammula | KM Radha Krishnan | Raja , Kamalinee Mukherjee",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2003,Okkadu,Gunasekhar,False,"2003 | Okkadu | Gunasekhar | M.S. Raju | Mani Sharma | Mahesh Babu , Bhumika Chawla , Prakash Raj",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2002,Nuvve Nuvve,Trivikram,False,"2002 | Nuvve Nuvve | Trivikram | Sravanthi Ravi Kishore | Koti | Tarun , Shriya Saran , Prakash Raj",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2001,Murari,Krishna Vamsi,False,"2001 | Murari | Krishna Vamsi | Gopi Nandigam | Mani Sharma | Mahesh Babu , Sonali Bendre , Lakshmi , Kaikala Satyanarayana",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2000,Azad,Tirupathi Swamy,False,"2000 | Azad | Tirupathi Swamy | C. Ashwini Dutt | Mani Sharma | Nagarjuna , Soundarya , Shilpa Shetty",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1999,Nee Kosam,Srinu Vytla,False,"1999 | Nee Kosam | Srinu Vytla | Ganta Srinivasa Rao | R P Patnaik Devi Sri Prasad | Ravi Teja , Maheswari , Sivaji Raja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1998,Kante Kuthurne Kanu,Dasari Narayana Rao,False,"1998 | Kante Kuthurne Kanu | Dasari Narayana Rao | Dasari Padma | Vandemataram Srinivas | Dasari Narayana Rao , Jayasudha , Ramya Krishnan",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1997,Sindhooram,Krishna Vamsi,False,"1997 | Sindhooram | Krishna Vamsi | Krishna Vamsi Mohan Mullapudi | Sri | Ravi Teja , Sanghavi , Brahmaji",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1996,Little Soldiers,Gangaraju Gunnam,False,"1996 | Little Soldiers | Gangaraju Gunnam | Gangaraju Gunnam | Sri | Baby Kavya, Master Aditya , Heera , Ramesh Aravind , Kota Srinivasa Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1995,Badili,C. V. Reddy,False,"1995 | Badili | C. V. Reddy | C. V. Reddy | - | Anand , Raasi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1994,Subha Lagnam,S. V. Krishna Reddy,False,"1994 | Subha Lagnam | S. V. Krishna Reddy | K. Venkateswara rao | S. V. Krishna Reddy | Jagapathi Babu , Aamani , Roja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1993,Money,Siva Nageswara Rao,False,"1993 | Money | Siva Nageswara Rao | Ram Gopal Varma | Sri | Jayasudha , J. D. Chakravarthy",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
