year,film,person,is_winner,raw_text,source_url
,Sanjay Leela Bhansali,2,False,Director with most awards | Sanjay Leela Bhansali | 2 | --,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Director
,Vishal Bhardwaj Imtiaz Ali Prakash Jha Sanjay Leela Bhansali,2,False,Director with most nominations | Vishal Bhardwaj Imtiaz Ali Prakash Jha Sanjay Leela Bhansali | 2,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Director
,Vishal Bhardwaj Imtiaz Ali Prakash Jha,2,False,Director with most nominations (without ever winning) | Vishal Bhardwaj Imtiaz Ali Prakash Jha | 2,https://en.wikipedia.org/wiki/Producers_Guild_Film_Award_for_Best_Director
