year,ceremony,category,nominee,film,country,winner,source_url
1978,Evening Standard British Film Awards 1978,Best Newcomer – Actor,,Michael J. Jackson,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1978,Evening Standard British Film Awards 1978,Best Newcomer – Actress,,Lea Brodie,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Actor,Peter Ustinov – Death on the Nile,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Actress,Maggie Smith – California Suite,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Comedy,,Porridge – Dick Clement,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Film,,Death on the Nile – John Guillermin,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Newcomer – Actor,,Simon MacCorkindale,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1979,Evening Standard British Film Awards 1979,Best Newcomer – Actress,,Karen Dotrice,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Actor,"Denholm Elliott – Bad Timing, Rising Damp, Zulu Dawn",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Actress,Frances de la Tour – Rising Damp,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Comedy,,Rising Damp – Joseph McGrath,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Film,,Yanks – John Schlesinger,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Newcomer – Actor,,Jonathan Pryce,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Best Newcomer – Actress,,Wendy Morgan,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1980,Evening Standard British Film Awards 1980,Peter Sellers Award for Comedy,,Leonard Rossiter,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Best Actor,Bob Hoskins – The Long Good Friday,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Best Actress,Maggie Smith – Quartet,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Best Film,,The French Lieutenant's Woman – Karel Reisz,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Best Screenplay,,Colin Welland – Chariots of Fire,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Most Promising Filmmaker,,Franco Rosso,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1981,Evening Standard British Film Awards 1981,Peter Sellers Award for Comedy,,Bill Forsyth,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Best Actor,Trevor Howard – Light Years Away,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Best Actress,Jennifer Kendal – 36 Chowringhee Lane,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Best Film,,Moonlighting – Jerzy Skolimowski,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Best Screenplay,,John Krish – Friend or Foe,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Most Promising Newcomer,,Cassie McFarlane,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1982,Evening Standard British Film Awards 1982,Peter Sellers Award for Comedy,,Michael Blakemore,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Best Actor,"Ben Kingsley – Gandhi, Betrayal",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Best Actress,"Phyllis Logan – Another Time, Another Place",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Best Film,,The Ploughman's Lunch – Richard Eyre,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Best Screenplay,,Ian McEwan – The Ploughman's Lunch,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Best Technical or Artistic Achievement,,Chris Menges,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Most Promising Newcomer,,Neil Jordan,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Peter Sellers Award for Comedy,,Bill Forsyth,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1983,Evening Standard British Film Awards 1983,Special Award,,Richard Attenborough,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Best Actor,"John Hurt – 1984, Champions, The Hit",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Best Actress,Helen Mirren – Cal,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Best Film,,1984 – Michael Radford,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Best Screenplay,,Bernard MacLaverty – Cal,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Best Technical or Artistic Achievement,,John Alcott,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Most Promising Newcomer,,Tim Roth,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1984,Evening Standard British Film Awards 1984,Peter Sellers Award for Comedy,,Denholm Elliott,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Best Actor,Victor Banerjee – A Passage to India,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Best Actress,Miranda Richardson – Dance with a Stranger,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Best Film,,My Beautiful Laundrette – Stephen Frears,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Best Screenplay,,"Malcolm Mowbray, Alan Bennett – A Private Function",UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Best Technical or Artistic Achievement,,Norman Garwood,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Most Promising Newcomer,,"Margi Clarke, Alexandra Pigg",UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Peter Sellers Award for Comedy,,Michael Palin,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1985,Evening Standard British Film Awards 1985,Special Award,,"George Harrison, Denis O'Brien",UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1986,Evening Standard British Film Awards 1986,Best Actor,"Ray McAnally – The Mission, No Surrender",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1986,Evening Standard British Film Awards 1986,Best Actress,Coral Browne – Dreamchild,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1986,Evening Standard British Film Awards 1986,Best Film,,A Room with a View,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1986,Evening Standard British Film Awards 1986,Best Screenplay,,Robert Bolt – The Mission,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
