award_show,year,category,reason
Filmfare Awards South,,Best Supporting Actor,tables present but no rows parsed - check table format manually
Filmfare Awards South,,Best Lyricist,no wikitable found on page
Filmfare Awards South,,Best Male Playback Singer,tables present but no rows parsed - check table format manually
Filmfare Awards South,,Best Comedian,no wikitable found on page
Filmfare Awards South,,Best Villain,no wikitable found on page
