award_show,year,category,reason
Vijay Awards,,Best Actor,no wikitable found on page
Vijay Awards,,Best Debut Director,"page fetch failed: Could not fetch 'Vijay Award for Best Debut Director': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
