award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Filmfare Awards South,1963,,Best Film,Narthanasala,Lakshmi Rajyam and Sridhar Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1964,,Best Film,Mooga Manasulu,C. Sundaram,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1965,,Best Film,Antastulu,V. B. Rajendra Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1966,,Best Film,Aastiparulu,V. B. Rajendra Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1967,,Best Film,Chadarangam,Badeti Satyanarayana and Putla Venkata Rao (Producers) S. V. Ranga Rao (Director),,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1968,,Best Film,Sudigundalu,Adurthi Subba Rao and Akkineni Nageswara Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1969,,Best Film,Bangaru Panjaram,B. N. Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1970,,Best Film,Dharma Daata,Tammareddy Krishna Murthy,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1971,,Best Film,Tahsildar Gari Ammayi,N. V. V. Sathya Narayana and A. Surya Narayana,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1972,,Best Film,Pandanti Kapuram,G. Hanumantha Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1973,,Best Film,Jeevana Tharangaalu,D. Ramanaidu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1974,,Best Film,O Seeta Katha,Sharma,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1975,,Best Film,Jeevana Jyothi,D. V. S. Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1976,,Best Film,Soggadu,D. Ramanaidu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1977,,Best Film,Adavi Ramudu,N. V. V. Sathya Narayana and A. Surya Narayana,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1978,,Best Film,Manavoori Pandavulu,Jayakrishna,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1979,,Best Film,Gorintaku,K. Murari,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1980,,Best Film,Maa Bhoomi,B. Narsing Rao and G. Ravindranath,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1981,,Best Film,Saptapadi,P. Butchi Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1982,,Best Film,Meghasandesam,Dasari Narayana Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1983,,Best Film,Neti Bharatam,P. Venkateswara Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1984,,Best Film,Swathi,Kranthi Kumar,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1985,,Best Film,Pratighatana,Ramoji Rao and Atluri Rama Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1986,,Best Film,Repati Pourulu,P. Venkateswara Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1987,,Best Film,Padamati Sandhya Ragam,G. Subba Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1988,,Best Film,Swarnakamalam,Ch. V. Appa Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1989,,Best Film,Siva,Akkineni Venkat and Yarlagadda Surendra,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1990,,Best Film,Karthavyam,A. M. Rathnam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1991,,Best Film,Seetharamaiah Gari Manavaralu,V. Doraiswamy Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1992,,Best Film,Gharana Mogudu,K. Devi Varaprasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1993,,Best Film,Mathru Devo Bhava,K. S. Rama Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1994,,Best Film,Aame,Mullapudi Brahmanandam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1995,,Best Film,Subha Sankalpam,S. P. Balasubrahmanyam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1996,,Best Film,Ninne Pelladata,Nagarjuna,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1997,,Best Film,Annamayya,V. Doraiswamy Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1998,,Best Film,Anthapuram,P. Kiran,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,1999,,Best Film,Raja,R. B. Choudary,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2000,,Best Film,Nuvve Kavali,Ramoji Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2001,,Best Film,Nuvvu Nenu,P. Kiran,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2001,,Best Film,Kushi,A. M. Rathnam,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2001,,Best Film,Murari,"N Devi Prasad, Ramalingeswara Rao and Gopi Nandigam",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2002,,Best Film,Santosham,K. L. Narayana,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2002,,Best Film,Indra,C. Aswini Dutt,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2002,,Best Film,Jayam,Teja,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2002,,Best Film,Manmadhudu,Nagarjuna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2003,,Best Film,Okkadu,M. S. Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2003,,Best Film,Aithe,Gangaraju Gunnam,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2003,,Best Film,Amma Nanna O Tamila Ammayi,K. L. N. Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2003,,Best Film,Vasantam,N. V. Prasad and Sanam Naga Ashok Kumar,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2004,,Best Film,Varsham,M. S. Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2004,,Best Film,Aa Naluguru,Sarita Patra,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2004,,Best Film,Anand,Sekhar Kammula,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2004,,Best Film,Arya,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2005,,Best Film,Nuvvostanante Nenoddantana,M. S. Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2005,,Best Film,Athadu,Duggirala Kishore and M. Ram Mohan,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2005,,Best Film,Chatrapathi,B. V. S. N. Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2005,,Best Film,Sankranti,R. B. Choudary,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2005,,Best Film,Super,Nagarjuna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2006,,Best Film,Bommarillu,Dil Raju,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2006,,Best Film,Godavari,G. V. G. Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2006,,Best Film,Pokiri,Puri Jagannadh and Manjula Ghattamaneni,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2006,,Best Film,Sri Ramadasu,Konda Krishnam Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2007,,Best Film,Happy Days,Sekhar Kammula and Chandra S. Kammula,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2007,,Best Film,Desamuduru,D. V. V. Danayya,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2007,,Best Film,Dhee,Mallidi Satyanarayana Reddy,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2007,,Best Film,Tulasi,D. Suresh Babu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2007,,Best Film,Yamadonga,Chiranjeevi Pedamallu and Urmila Gunnam,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Gamyam,Saibabu Jagarlamudi,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Ashta Chamma,Ram Mohan P.,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Jalsa,Allu Aravind,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Kotha Bangaru Lokam,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Parugu,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2008,,Best Film,Ready,Sravanthi Ravi Kishore,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2009,,Best Film,Magadheera,Allu Aravind and B. V. S. N. Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2009,,Best Film,Arundhati,Shyam Prasad Reddy,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2009,,Best Film,Arya 2,Aditya Babu and B. V. S. N. Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2009,,Best Film,Konchem Ishtam Konchem Kashtam,Nallamalupu Bujji,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2010,,Best Film,Vedam,Shobu Yarlagadda and Prasad Devineni,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2010,,Best Film,Adhurs,Vallabhaneni Vamsi Mohan,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
