award_show,year,category,reason
Nandi Awards,,Best Female Comedian,no wikitable found on page
Nandi Awards,,Best Villain,no wikitable found on page
Nandi Awards,,Best Cinematographer,no wikitable found on page
Nandi Awards,,Best Story Writer,no wikitable found on page
