award_show,year,category,reason
Tamil Nadu State Film Awards,,Best Cinematographer,"page fetch failed: Could not fetch 'Tamil Nadu State Film Award Award for Best Cinematographer': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Tamil Nadu State Film Awards,,Best Screenplay Writer,page fetch failed: Could not fetch 'Tamil Nadu State Film Award for Best Screenplay Writer': 429 Client Error: Too Many Requests for url: https://en.wikipedia.org/w/api.php?action=parse&page=Tamil+Nadu+State+Film+Award+for+Best+Screenplay+Writer&format=json&prop=text&redirects=1
