award_show,year,category,reason
SIIMA Awards,,Best Supporting Actor,"category page fetch failed: Could not fetch 'SIIMA Award for Best Supporting Actor – Kannada': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
SIIMA Awards,,Best Supporting Actress,"category page fetch failed: Could not fetch 'SIIMA Award for Best Supporting Actress – Kannada': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
