award_show,year,category,reason
Karnataka State Film Awards,,Best Child Artist,"page fetch failed: Could not fetch 'Karnataka State Film Award for Best Child Artist': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
Karnataka State Film Awards,,Best Screenplay Writer,"page fetch failed: Could not fetch 'Karnataka State Film Award for Best Screenplay Writer': {'code': 'missingtitle', 'info': ""The page you specified doesn't exist."", '*': 'See https://en.wikipedia.org/w/api.php for API usage. Subscribe to the mediawiki-api-announce mailing list at &lt;https://lists.wikimedia.org/postorius/lists/mediawiki-api-announce.lists.wikimedia.org/&gt; for notice of API deprecations and breaking changes.'}"
