year,ceremony,category,nominee,film,country,winner,source_url
2012,Carthage Film Festival 2012,Tanit de Bronze (Bronze Tanit),Day by Hala Lotfy,Coming Forth,Egypt,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2014,Carthage Film Festival 2014,Tanit d'Argent (Silver Tanit),Hicham Lasri,They are the Dogs,Morocco,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2014,Carthage Film Festival 2014,Tanit d'Or (Golden Tanit),Hany Abu-Assad,Omar,Palestine,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2014,Carthage Film Festival 2014,Tanit de Bronze (Bronze Tanit),,Before Snowfall de Hisham Zaman (Iraq),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2015,Carthage Film Festival 2015,Tanit d'Argent (Silver Tanit),,The Endless River Oliver Hermanus (South Africa),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2015,Carthage Film Festival 2015,Tanit d'Or (Golden Tanit),Mohamed Mouftakir,The Blind Orchestra,Morocco,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2015,Carthage Film Festival 2015,Tanit de Bronze (Bronze Tanit),Leyla Bouzid,As I Open My Eyes,Tunisia / France / Belgium,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2016,Carthage Film Festival 2016,Tanit d'Argent (Silver Tanit),Mohamed Diab,Clash,Egypt,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2016,Carthage Film Festival 2016,Tanit d'Or (Golden Tanit),,Zaineb Hates the Snow bu Kaouther Ben Hania (Tunisia),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2016,Carthage Film Festival 2016,Tanit de Bronze (Bronze Tanit),Mai Masri,3000 Nights,Palestine,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2017,Carthage Film Festival 2017,Tanit d'Argent (Silver Tanit),John Trengove,The Wound,South Africa,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2017,Carthage Film Festival 2017,Tanit d'Or (Golden Tanit),Licínio Azevedo,The Train of Salt and Sugar,Mozambique,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2017,Carthage Film Festival 2017,Tanit de Bronze (Bronze Tanit),Faouzi Bensaïdi,Volubilis,Morocco,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2018,Carthage Film Festival 2018,Tanit d'Argent (Silver Tanit),Abu Bakr Shawky,Yomeddine,Egypt,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2018,Carthage Film Festival 2018,Tanit d'Or (Golden Tanit),,Fatwa de Mahmoud Ben Mahmoud (Tunisia),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2018,Carthage Film Festival 2018,Tanit de Bronze (Bronze Tanit),Joud Saïd,War Travelers,Syria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2018,Carthage Film Festival 2018,Winners,,"2018: Fatwa (Arabic: فتوى) (Mahmoud Ben Mahmoud, Tunisia)",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
2019,Carthage Film Festival 2019,Tanit d'Argent (Silver Tanit),Mati Diop,Atlantique,Senegal,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2019,Carthage Film Festival 2019,Tanit d'Or (Golden Tanit),Hinde Boujemaa,Noura's Dream,Tunisia,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2019,Carthage Film Festival 2019,Tanit de Bronze (Bronze Tanit),Shahad Ameen,Scales,Saudi Arabia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2021,Carthage Film Festival 2021,Tanit d'Argent (Silver Tanit),Lemohang Jeremiah Mosese,"This Is Not a Burial, It's a Resurrection",Lesotho,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2021,Carthage Film Festival 2021,Tanit d'Or (Golden Tanit),Omar El Zohairy,Feathers,Egypt,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2021,Carthage Film Festival 2021,Tanit de Bronze (Bronze Tanit),Jilani Saadi,Insurrection,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2022,Carthage Film Festival 2022,Tanit d'Argent (Silver Tanit),Erige Sehiri,Under the Fig Trees,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2022,Carthage Film Festival 2022,Tanit d'Or (Golden Tanit),Amil Shivji,Tug of War,Tanzania,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2022,Carthage Film Festival 2022,Tanit de Bronze (Bronze Tanit),Samir Nasr,Sharaf,Egypt,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2022,Carthage Film Festival 2022,Winners,,"2022: Tug of War (Swahili: Vuta N'Kuvute) (Amil Shivji, Tanzania)",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
2024,Carthage Film Festival 2024,Tanit d'Argent (Silver Tanit),Mahdi Fleifel,To a Land Unknown,Palestine,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2024,Carthage Film Festival 2024,Tanit d'Or (Golden Tanit),Lotfi Achour,Red Path,Tunisia,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2024,Carthage Film Festival 2024,Tanit de Bronze (Bronze Tanit),Mamadou Dia,Demba,Senegal,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2024,Carthage Film Festival 2024,Winners,,"2024: Red Path (French: Les Enfants rouges) (Lotfi Achour, Tunisia)",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
2025,Carthage Film Festival 2025,Tanit d'Argent (Silver Tanit),Akinola Davies Jr.,My Father's Shadow,Nigeria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2025,Carthage Film Festival 2025,Tanit d'Or (Golden Tanit),Abu Bakr Shawky,The Stories,Egypt,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2025,Carthage Film Festival 2025,Tanit de Bronze (Bronze Tanit),,Sink de Zain Duraie (Jordan),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
2025,Carthage Film Festival 2025,Winners,,"2025: The Stories (Arabic: القصص) (Abu Bakr Shawky, Egypt)",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
