year,ceremony,category,nominee,film,winner,source_url
1946,4th Golden Globe Awards,Special Achievement Award,Harold Russell,The Best Years of Our Lives,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,1st Cannes Film Festival,1st Cannes Film Festival,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,19th Academy Awards,19th Academy Awards,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,1946 in film,1946 in film,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Picture - Most awards,← 4th,← 4th,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Picture - Most awards,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Picture - Most awards,6th →,6th →,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Picture,Gentleman's Agreement directed by Elia Kazan,Gentleman's Agreement directed by Elia Kazan,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Actor in a Leading Role,Ronald Colman,A Double Life,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Actress in a Leading Role,Rosalind Russell,Mourning Becomes Electra,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Edmund Gwenn,Miracle on 34th Street,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Celeste Holm,Gentleman's Agreement,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Director-Motion Picture,Elia Kazan,Gentleman's Agreement,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Best Screenplay,Miracle on 34th Street written by George Seaton,Miracle on 34th Street written by George Seaton,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,"Best Music, Original Score - Motion Picture",Life with Father composed by Max Steiner,Life with Father composed by Max Steiner,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,"Best Music, Original Score - Motion Picture",Black Narcissus photographed by Jack Cardiff,Black Narcissus photographed by Jack Cardiff,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,"Best Music, Original Score - Motion Picture",Richard Widmark in Kiss of Death,Richard Widmark in Kiss of Death,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,"Best Music, Original Score - Motion Picture",Lois Maxwell in That Hagen Girl,Lois Maxwell in That Hagen Girl,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Award – Best Juvenile Actor,Dean Stockwell in Gentleman's Agreement,Dean Stockwell in Gentleman's Agreement,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,Walt Disney for Bambi Furthering The Influence Of The Screen,Walt Disney for Bambi Furthering The Influence Of The Screen,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,1st British Academy Film Awards,1st British Academy Film Awards,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,2nd Cannes Film Festival,2nd Cannes Film Festival,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,20th Academy Awards,20th Academy Awards,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1947,5th Golden Globe Awards,Special Achievement Award,1947 in film,1947 in film,0,https://en.wikipedia.org/wiki/5th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Picture - Most awards,← 5th,← 5th,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Picture - Most awards,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Picture - Most awards,7th →,7th →,0,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Actor in a Leading Role,Laurence Olivier,Hamlet,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Actress in a Leading Role,Jane Wyman,Johnny Belinda,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Walter Huston,The Treasure of the Sierra Madre,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Ellen Corby,I Remember Mama,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Director – Motion Picture,John Huston,The Treasure of the Sierra Madre,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Best Screenplay – Motion Picture,The Search written by Richard Schweizer,The Search written by Richard Schweizer,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,"Best Music, Original Score – Motion Picture",The Red Shoes composed by Brian Easdale,The Red Shoes composed by Brian Easdale,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,"Best Music, Original Score – Motion Picture",La perla photographed by Gabriel Figueroa,La perla photographed by Gabriel Figueroa,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,Ivan Jandl in The Search,Ivan Jandl in The Search,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,The Search directed by Fred Zinnemann,The Search directed by Fred Zinnemann,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
